indicator,date,value,unit,geography,source,source_url,ecifre_url,last_updated
Autorizații de construire pe județe,2015-01-01,21.0000,Numar,RO-AB,INSSE,https://insse.ro,https://ecifre.ro/indicatori/autorizatii-de-construire-pe-judete-ro/alba,2026-09-01
Autorizații de construire pe județe,2015-02-01,26.0000,Numar,RO-AB,INSSE,https://insse.ro,https://ecifre.ro/indicatori/autorizatii-de-construire-pe-judete-ro/alba,2026-09-01
Autorizații de construire pe județe,2015-03-01,42.0000,Numar,RO-AB,INSSE,https://insse.ro,https://ecifre.ro/indicatori/autorizatii-de-construire-pe-judete-ro/alba,2026-09-01
Autorizații de construire pe județe,2015-04-01,57.0000,Numar,RO-AB,INSSE,https://insse.ro,https://ecifre.ro/indicatori/autorizatii-de-construire-pe-judete-ro/alba,2026-09-01
Autorizații de construire pe județe,2015-05-01,55.0000,Numar,RO-AB,INSSE,https://insse.ro,https://ecifre.ro/indicatori/autorizatii-de-construire-pe-judete-ro/alba,2026-09-01
Autorizații de construire pe județe,2015-06-01,57.0000,Numar,RO-AB,INSSE,https://insse.ro,https://ecifre.ro/indicatori/autorizatii-de-construire-pe-judete-ro/alba,2026-09-01
Autorizații de construire pe județe,2015-07-01,67.0000,Numar,RO-AB,INSSE,https://insse.ro,https://ecifre.ro/indicatori/autorizatii-de-construire-pe-judete-ro/alba,2026-09-01
Autorizații de construire pe județe,2015-08-01,65.0000,Numar,RO-AB,INSSE,https://insse.ro,https://ecifre.ro/indicatori/autorizatii-de-construire-pe-judete-ro/alba,2026-09-01
Autorizații de construire pe județe,2015-09-01,45.0000,Numar,RO-AB,INSSE,https://insse.ro,https://ecifre.ro/indicatori/autorizatii-de-construire-pe-judete-ro/alba,2026-09-01
Autorizații de construire pe județe,2015-10-01,38.0000,Numar,RO-AB,INSSE,https://insse.ro,https://ecifre.ro/indicatori/autorizatii-de-construire-pe-judete-ro/alba,2026-09-01
Autorizații de construire pe județe,2015-11-01,36.0000,Numar,RO-AB,INSSE,https://insse.ro,https://ecifre.ro/indicatori/autorizatii-de-construire-pe-judete-ro/alba,2026-09-01
Autorizații de construire pe județe,2015-12-01,30.0000,Numar,RO-AB,INSSE,https://insse.ro,https://ecifre.ro/indicatori/autorizatii-de-construire-pe-judete-ro/alba,2026-09-01
Autorizații de construire pe județe,2016-01-01,14.0000,Numar,RO-AB,INSSE,https://insse.ro,https://ecifre.ro/indicatori/autorizatii-de-construire-pe-judete-ro/alba,2026-09-01
Autorizații de construire pe județe,2016-02-01,41.0000,Numar,RO-AB,INSSE,https://insse.ro,https://ecifre.ro/indicatori/autorizatii-de-construire-pe-judete-ro/alba,2026-09-01
Autorizații de construire pe județe,2016-03-01,42.0000,Numar,RO-AB,INSSE,https://insse.ro,https://ecifre.ro/indicatori/autorizatii-de-construire-pe-judete-ro/alba,2026-09-01
Autorizații de construire pe județe,2016-04-01,46.0000,Numar,RO-AB,INSSE,https://insse.ro,https://ecifre.ro/indicatori/autorizatii-de-construire-pe-judete-ro/alba,2026-09-01
Autorizații de construire pe județe,2016-05-01,51.0000,Numar,RO-AB,INSSE,https://insse.ro,https://ecifre.ro/indicatori/autorizatii-de-construire-pe-judete-ro/alba,2026-09-01
Autorizații de construire pe județe,2016-06-01,64.0000,Numar,RO-AB,INSSE,https://insse.ro,https://ecifre.ro/indicatori/autorizatii-de-construire-pe-judete-ro/alba,2026-09-01
Autorizații de construire pe județe,2016-07-01,57.0000,Numar,RO-AB,INSSE,https://insse.ro,https://ecifre.ro/indicatori/autorizatii-de-construire-pe-judete-ro/alba,2026-09-01
Autorizații de construire pe județe,2016-08-01,83.0000,Numar,RO-AB,INSSE,https://insse.ro,https://ecifre.ro/indicatori/autorizatii-de-construire-pe-judete-ro/alba,2026-09-01
Autorizații de construire pe județe,2016-09-01,67.0000,Numar,RO-AB,INSSE,https://insse.ro,https://ecifre.ro/indicatori/autorizatii-de-construire-pe-judete-ro/alba,2026-09-01
Autorizații de construire pe județe,2016-10-01,53.0000,Numar,RO-AB,INSSE,https://insse.ro,https://ecifre.ro/indicatori/autorizatii-de-construire-pe-judete-ro/alba,2026-09-01
Autorizații de construire pe județe,2016-11-01,43.0000,Numar,RO-AB,INSSE,https://insse.ro,https://ecifre.ro/indicatori/autorizatii-de-construire-pe-judete-ro/alba,2026-09-01
Autorizații de construire pe județe,2016-12-01,44.0000,Numar,RO-AB,INSSE,https://insse.ro,https://ecifre.ro/indicatori/autorizatii-de-construire-pe-judete-ro/alba,2026-09-01
Autorizații de construire pe județe,2017-01-01,30.0000,Numar,RO-AB,INSSE,https://insse.ro,https://ecifre.ro/indicatori/autorizatii-de-construire-pe-judete-ro/alba,2026-09-01
Autorizații de construire pe județe,2017-02-01,32.0000,Numar,RO-AB,INSSE,https://insse.ro,https://ecifre.ro/indicatori/autorizatii-de-construire-pe-judete-ro/alba,2026-09-01
Autorizații de construire pe județe,2017-03-01,67.0000,Numar,RO-AB,INSSE,https://insse.ro,https://ecifre.ro/indicatori/autorizatii-de-construire-pe-judete-ro/alba,2026-09-01
Autorizații de construire pe județe,2017-04-01,43.0000,Numar,RO-AB,INSSE,https://insse.ro,https://ecifre.ro/indicatori/autorizatii-de-construire-pe-judete-ro/alba,2026-09-01
Autorizații de construire pe județe,2017-05-01,63.0000,Numar,RO-AB,INSSE,https://insse.ro,https://ecifre.ro/indicatori/autorizatii-de-construire-pe-judete-ro/alba,2026-09-01
Autorizații de construire pe județe,2017-06-01,82.0000,Numar,RO-AB,INSSE,https://insse.ro,https://ecifre.ro/indicatori/autorizatii-de-construire-pe-judete-ro/alba,2026-09-01
Autorizații de construire pe județe,2017-07-01,71.0000,Numar,RO-AB,INSSE,https://insse.ro,https://ecifre.ro/indicatori/autorizatii-de-construire-pe-judete-ro/alba,2026-09-01
Autorizații de construire pe județe,2017-08-01,44.0000,Numar,RO-AB,INSSE,https://insse.ro,https://ecifre.ro/indicatori/autorizatii-de-construire-pe-judete-ro/alba,2026-09-01
Autorizații de construire pe județe,2017-09-01,73.0000,Numar,RO-AB,INSSE,https://insse.ro,https://ecifre.ro/indicatori/autorizatii-de-construire-pe-judete-ro/alba,2026-09-01
Autorizații de construire pe județe,2017-10-01,67.0000,Numar,RO-AB,INSSE,https://insse.ro,https://ecifre.ro/indicatori/autorizatii-de-construire-pe-judete-ro/alba,2026-09-01
