indicator,date,value,unit,geography,source,source_url,ecifre_url,last_updated
Indice cost construcții,2023-07-01,129.7000,Indice (2021=100),RO,EUROSTAT,https://ec.europa.eu/eurostat,https://ecifre.ro/indicatori/indice-cost-constructii-ro,2026-09-01
Indice cost construcții,2023-10-01,133.6000,Indice (2021=100),RO,EUROSTAT,https://ec.europa.eu/eurostat,https://ecifre.ro/indicatori/indice-cost-constructii-ro,2026-09-01
Indice cost construcții,2024-01-01,138.1000,Indice (2021=100),RO,EUROSTAT,https://ec.europa.eu/eurostat,https://ecifre.ro/indicatori/indice-cost-constructii-ro,2026-09-01
Indice cost construcții,2024-04-01,142.7000,Indice (2021=100),RO,EUROSTAT,https://ec.europa.eu/eurostat,https://ecifre.ro/indicatori/indice-cost-constructii-ro,2026-09-01
Indice cost construcții,2024-07-01,141.5000,Indice (2021=100),RO,EUROSTAT,https://ec.europa.eu/eurostat,https://ecifre.ro/indicatori/indice-cost-constructii-ro,2026-09-01
Indice cost construcții,2024-10-01,142.3000,Indice (2021=100),RO,EUROSTAT,https://ec.europa.eu/eurostat,https://ecifre.ro/indicatori/indice-cost-constructii-ro,2026-09-01
Indice cost construcții,2025-01-01,145.9000,Indice (2021=100),RO,EUROSTAT,https://ec.europa.eu/eurostat,https://ecifre.ro/indicatori/indice-cost-constructii-ro,2026-09-01
Indice cost construcții,2025-04-01,150.0000,Indice (2021=100),RO,EUROSTAT,https://ec.europa.eu/eurostat,https://ecifre.ro/indicatori/indice-cost-constructii-ro,2026-09-01
Indice cost construcții,2025-07-01,152.2000,Indice (2021=100),RO,EUROSTAT,https://ec.europa.eu/eurostat,https://ecifre.ro/indicatori/indice-cost-constructii-ro,2026-09-01
Indice cost construcții,2025-10-01,155.4000,Indice (2021=100),RO,EUROSTAT,https://ec.europa.eu/eurostat,https://ecifre.ro/indicatori/indice-cost-constructii-ro,2026-09-01
Indice cost construcții,2026-01-01,156.3000,Indice (2021=100),RO,EUROSTAT,https://ec.europa.eu/eurostat,https://ecifre.ro/indicatori/indice-cost-constructii-ro,2026-09-01
Indice cost construcții,2026-04-01,164.7000,Indice (2021=100),RO,EUROSTAT,https://ec.europa.eu/eurostat,https://ecifre.ro/indicatori/indice-cost-constructii-ro,2026-09-01
