indicator,date,value,unit,geography,source,source_url,ecifre_url,last_updated
Locuințe finalizate pe județe,2015-01-01,438.0000,Numar,RO-AB,INSSE,https://insse.ro,https://ecifre.ro/indicatori/locuinte-finalizate-pe-judete-ro/alba,2026-09-01
Locuințe finalizate pe județe,2016-01-01,472.0000,Numar,RO-AB,INSSE,https://insse.ro,https://ecifre.ro/indicatori/locuinte-finalizate-pe-judete-ro/alba,2026-09-01
Locuințe finalizate pe județe,2017-01-01,577.0000,Numar,RO-AB,INSSE,https://insse.ro,https://ecifre.ro/indicatori/locuinte-finalizate-pe-judete-ro/alba,2026-09-01
Locuințe finalizate pe județe,2018-01-01,500.0000,Numar,RO-AB,INSSE,https://insse.ro,https://ecifre.ro/indicatori/locuinte-finalizate-pe-judete-ro/alba,2026-09-01
Locuințe finalizate pe județe,2019-01-01,800.0000,Numar,RO-AB,INSSE,https://insse.ro,https://ecifre.ro/indicatori/locuinte-finalizate-pe-judete-ro/alba,2026-09-01
Locuințe finalizate pe județe,2020-01-01,886.0000,Numar,RO-AB,INSSE,https://insse.ro,https://ecifre.ro/indicatori/locuinte-finalizate-pe-judete-ro/alba,2026-09-01
Locuințe finalizate pe județe,2021-01-01,1249.0000,Numar,RO-AB,INSSE,https://insse.ro,https://ecifre.ro/indicatori/locuinte-finalizate-pe-judete-ro/alba,2026-09-01
Locuințe finalizate pe județe,2022-01-01,859.0000,Numar,RO-AB,INSSE,https://insse.ro,https://ecifre.ro/indicatori/locuinte-finalizate-pe-judete-ro/alba,2026-09-01
Locuințe finalizate pe județe,2023-01-01,652.0000,Numar,RO-AB,INSSE,https://insse.ro,https://ecifre.ro/indicatori/locuinte-finalizate-pe-judete-ro/alba,2026-09-01
Locuințe finalizate pe județe,2024-01-01,576.0000,Numar,RO-AB,INSSE,https://insse.ro,https://ecifre.ro/indicatori/locuinte-finalizate-pe-judete-ro/alba,2026-09-01
Locuințe finalizate pe județe,2025-01-01,733.0000,Numar,RO-AB,INSSE,https://insse.ro,https://ecifre.ro/indicatori/locuinte-finalizate-pe-judete-ro/alba,2026-09-01
Locuințe finalizate pe județe,2015-01-01,713.0000,Numar,RO-AR,INSSE,https://insse.ro,https://ecifre.ro/indicatori/locuinte-finalizate-pe-judete-ro/arad,2026-09-01
Locuințe finalizate pe județe,2016-01-01,710.0000,Numar,RO-AR,INSSE,https://insse.ro,https://ecifre.ro/indicatori/locuinte-finalizate-pe-judete-ro/arad,2026-09-01
Locuințe finalizate pe județe,2017-01-01,721.0000,Numar,RO-AR,INSSE,https://insse.ro,https://ecifre.ro/indicatori/locuinte-finalizate-pe-judete-ro/arad,2026-09-01
Locuințe finalizate pe județe,2018-01-01,514.0000,Numar,RO-AR,INSSE,https://insse.ro,https://ecifre.ro/indicatori/locuinte-finalizate-pe-judete-ro/arad,2026-09-01
Locuințe finalizate pe județe,2019-01-01,832.0000,Numar,RO-AR,INSSE,https://insse.ro,https://ecifre.ro/indicatori/locuinte-finalizate-pe-judete-ro/arad,2026-09-01
Locuințe finalizate pe județe,2020-01-01,599.0000,Numar,RO-AR,INSSE,https://insse.ro,https://ecifre.ro/indicatori/locuinte-finalizate-pe-judete-ro/arad,2026-09-01
Locuințe finalizate pe județe,2021-01-01,1042.0000,Numar,RO-AR,INSSE,https://insse.ro,https://ecifre.ro/indicatori/locuinte-finalizate-pe-judete-ro/arad,2026-09-01
Locuințe finalizate pe județe,2022-01-01,948.0000,Numar,RO-AR,INSSE,https://insse.ro,https://ecifre.ro/indicatori/locuinte-finalizate-pe-judete-ro/arad,2026-09-01
Locuințe finalizate pe județe,2023-01-01,810.0000,Numar,RO-AR,INSSE,https://insse.ro,https://ecifre.ro/indicatori/locuinte-finalizate-pe-judete-ro/arad,2026-09-01
Locuințe finalizate pe județe,2024-01-01,741.0000,Numar,RO-AR,INSSE,https://insse.ro,https://ecifre.ro/indicatori/locuinte-finalizate-pe-judete-ro/arad,2026-09-01
Locuințe finalizate pe județe,2025-01-01,713.0000,Numar,RO-AR,INSSE,https://insse.ro,https://ecifre.ro/indicatori/locuinte-finalizate-pe-judete-ro/arad,2026-09-01
Locuințe finalizate pe județe,2015-01-01,1413.0000,Numar,RO-AG,INSSE,https://insse.ro,https://ecifre.ro/indicatori/locuinte-finalizate-pe-judete-ro/arges,2026-09-01
Locuințe finalizate pe județe,2016-01-01,1649.0000,Numar,RO-AG,INSSE,https://insse.ro,https://ecifre.ro/indicatori/locuinte-finalizate-pe-judete-ro/arges,2026-09-01
Locuințe finalizate pe județe,2017-01-01,1425.0000,Numar,RO-AG,INSSE,https://insse.ro,https://ecifre.ro/indicatori/locuinte-finalizate-pe-judete-ro/arges,2026-09-01
Locuințe finalizate pe județe,2018-01-01,1748.0000,Numar,RO-AG,INSSE,https://insse.ro,https://ecifre.ro/indicatori/locuinte-finalizate-pe-judete-ro/arges,2026-09-01
Locuințe finalizate pe județe,2019-01-01,2236.0000,Numar,RO-AG,INSSE,https://insse.ro,https://ecifre.ro/indicatori/locuinte-finalizate-pe-judete-ro/arges,2026-09-01
Locuințe finalizate pe județe,2020-01-01,1725.0000,Numar,RO-AG,INSSE,https://insse.ro,https://ecifre.ro/indicatori/locuinte-finalizate-pe-judete-ro/arges,2026-09-01
Locuințe finalizate pe județe,2021-01-01,1683.0000,Numar,RO-AG,INSSE,https://insse.ro,https://ecifre.ro/indicatori/locuinte-finalizate-pe-judete-ro/arges,2026-09-01
Locuințe finalizate pe județe,2022-01-01,1572.0000,Numar,RO-AG,INSSE,https://insse.ro,https://ecifre.ro/indicatori/locuinte-finalizate-pe-judete-ro/arges,2026-09-01
Locuințe finalizate pe județe,2023-01-01,1567.0000,Numar,RO-AG,INSSE,https://insse.ro,https://ecifre.ro/indicatori/locuinte-finalizate-pe-judete-ro/arges,2026-09-01
Locuințe finalizate pe județe,2024-01-01,1229.0000,Numar,RO-AG,INSSE,https://insse.ro,https://ecifre.ro/indicatori/locuinte-finalizate-pe-judete-ro/arges,2026-09-01
Locuințe finalizate pe județe,2025-01-01,1339.0000,Numar,RO-AG,INSSE,https://insse.ro,https://ecifre.ro/indicatori/locuinte-finalizate-pe-judete-ro/arges,2026-09-01
Locuințe finalizate pe județe,2015-01-01,926.0000,Numar,RO-BC,INSSE,https://insse.ro,https://ecifre.ro/indicatori/locuinte-finalizate-pe-judete-ro/bacau,2026-09-01
Locuințe finalizate pe județe,2016-01-01,1033.0000,Numar,RO-BC,INSSE,https://insse.ro,https://ecifre.ro/indicatori/locuinte-finalizate-pe-judete-ro/bacau,2026-09-01
Locuințe finalizate pe județe,2017-01-01,863.0000,Numar,RO-BC,INSSE,https://insse.ro,https://ecifre.ro/indicatori/locuinte-finalizate-pe-judete-ro/bacau,2026-09-01
Locuințe finalizate pe județe,2018-01-01,942.0000,Numar,RO-BC,INSSE,https://insse.ro,https://ecifre.ro/indicatori/locuinte-finalizate-pe-judete-ro/bacau,2026-09-01
Locuințe finalizate pe județe,2019-01-01,942.0000,Numar,RO-BC,INSSE,https://insse.ro,https://ecifre.ro/indicatori/locuinte-finalizate-pe-judete-ro/bacau,2026-09-01
Locuințe finalizate pe județe,2020-01-01,1343.0000,Numar,RO-BC,INSSE,https://insse.ro,https://ecifre.ro/indicatori/locuinte-finalizate-pe-judete-ro/bacau,2026-09-01
