indicator,date,value,unit,geography,source,source_url,ecifre_url,last_updated
Firme înființate pe județe,2014-01-01,135.0000,Număr,RO-AB,ONRC,https://www.onrc.ro,https://ecifre.ro/indicatori/firme-infiintate-judete-ro/alba,2026-09-01
Firme înființate pe județe,2015-01-01,159.0000,Număr,RO-AB,ONRC,https://www.onrc.ro,https://ecifre.ro/indicatori/firme-infiintate-judete-ro/alba,2026-09-01
Firme înființate pe județe,2016-01-01,147.0000,Număr,RO-AB,ONRC,https://www.onrc.ro,https://ecifre.ro/indicatori/firme-infiintate-judete-ro/alba,2026-09-01
Firme înființate pe județe,2017-01-01,97.0000,Număr,RO-AB,ONRC,https://www.onrc.ro,https://ecifre.ro/indicatori/firme-infiintate-judete-ro/alba,2026-09-01
Firme înființate pe județe,2017-03-01,284.0000,Număr,RO-AB,ONRC,https://www.onrc.ro,https://ecifre.ro/indicatori/firme-infiintate-judete-ro/alba,2026-09-01
Firme înființate pe județe,2017-04-01,231.0000,Număr,RO-AB,ONRC,https://www.onrc.ro,https://ecifre.ro/indicatori/firme-infiintate-judete-ro/alba,2026-09-01
Firme înființate pe județe,2017-05-01,332.0000,Număr,RO-AB,ONRC,https://www.onrc.ro,https://ecifre.ro/indicatori/firme-infiintate-judete-ro/alba,2026-09-01
Firme înființate pe județe,2017-06-01,341.0000,Număr,RO-AB,ONRC,https://www.onrc.ro,https://ecifre.ro/indicatori/firme-infiintate-judete-ro/alba,2026-09-01
Firme înființate pe județe,2017-07-01,309.0000,Număr,RO-AB,ONRC,https://www.onrc.ro,https://ecifre.ro/indicatori/firme-infiintate-judete-ro/alba,2026-09-01
Firme înființate pe județe,2017-08-01,187.0000,Număr,RO-AB,ONRC,https://www.onrc.ro,https://ecifre.ro/indicatori/firme-infiintate-judete-ro/alba,2026-09-01
Firme înființate pe județe,2017-09-01,162.0000,Număr,RO-AB,ONRC,https://www.onrc.ro,https://ecifre.ro/indicatori/firme-infiintate-judete-ro/alba,2026-09-01
Firme înființate pe județe,2017-10-01,173.0000,Număr,RO-AB,ONRC,https://www.onrc.ro,https://ecifre.ro/indicatori/firme-infiintate-judete-ro/alba,2026-09-01
Firme înființate pe județe,2017-11-01,127.0000,Număr,RO-AB,ONRC,https://www.onrc.ro,https://ecifre.ro/indicatori/firme-infiintate-judete-ro/alba,2026-09-01
Firme înființate pe județe,2017-12-01,80.0000,Număr,RO-AB,ONRC,https://www.onrc.ro,https://ecifre.ro/indicatori/firme-infiintate-judete-ro/alba,2026-09-01
Firme înființate pe județe,2018-01-01,151.0000,Număr,RO-AB,ONRC,https://www.onrc.ro,https://ecifre.ro/indicatori/firme-infiintate-judete-ro/alba,2026-09-01
Firme înființate pe județe,2018-02-01,210.0000,Număr,RO-AB,ONRC,https://www.onrc.ro,https://ecifre.ro/indicatori/firme-infiintate-judete-ro/alba,2026-09-01
Firme înființate pe județe,2018-03-01,274.0000,Număr,RO-AB,ONRC,https://www.onrc.ro,https://ecifre.ro/indicatori/firme-infiintate-judete-ro/alba,2026-09-01
Firme înființate pe județe,2018-04-01,255.0000,Număr,RO-AB,ONRC,https://www.onrc.ro,https://ecifre.ro/indicatori/firme-infiintate-judete-ro/alba,2026-09-01
Firme înființate pe județe,2018-05-01,257.0000,Număr,RO-AB,ONRC,https://www.onrc.ro,https://ecifre.ro/indicatori/firme-infiintate-judete-ro/alba,2026-09-01
Firme înființate pe județe,2018-06-01,185.0000,Număr,RO-AB,ONRC,https://www.onrc.ro,https://ecifre.ro/indicatori/firme-infiintate-judete-ro/alba,2026-09-01
Firme înființate pe județe,2018-07-01,251.0000,Număr,RO-AB,ONRC,https://www.onrc.ro,https://ecifre.ro/indicatori/firme-infiintate-judete-ro/alba,2026-09-01
Firme înființate pe județe,2018-08-01,161.0000,Număr,RO-AB,ONRC,https://www.onrc.ro,https://ecifre.ro/indicatori/firme-infiintate-judete-ro/alba,2026-09-01
Firme înființate pe județe,2018-09-01,139.0000,Număr,RO-AB,ONRC,https://www.onrc.ro,https://ecifre.ro/indicatori/firme-infiintate-judete-ro/alba,2026-09-01
Firme înființate pe județe,2018-10-01,185.0000,Număr,RO-AB,ONRC,https://www.onrc.ro,https://ecifre.ro/indicatori/firme-infiintate-judete-ro/alba,2026-09-01
Firme înființate pe județe,2018-11-01,269.0000,Număr,RO-AB,ONRC,https://www.onrc.ro,https://ecifre.ro/indicatori/firme-infiintate-judete-ro/alba,2026-09-01
Firme înființate pe județe,2018-12-01,222.0000,Număr,RO-AB,ONRC,https://www.onrc.ro,https://ecifre.ro/indicatori/firme-infiintate-judete-ro/alba,2026-09-01
Firme înființate pe județe,2019-01-01,408.0000,Număr,RO-AB,ONRC,https://www.onrc.ro,https://ecifre.ro/indicatori/firme-infiintate-judete-ro/alba,2026-09-01
Firme înființate pe județe,2019-02-01,327.0000,Număr,RO-AB,ONRC,https://www.onrc.ro,https://ecifre.ro/indicatori/firme-infiintate-judete-ro/alba,2026-09-01
Firme înființate pe județe,2019-03-01,272.0000,Număr,RO-AB,ONRC,https://www.onrc.ro,https://ecifre.ro/indicatori/firme-infiintate-judete-ro/alba,2026-09-01
Firme înființate pe județe,2019-04-01,326.0000,Număr,RO-AB,ONRC,https://www.onrc.ro,https://ecifre.ro/indicatori/firme-infiintate-judete-ro/alba,2026-09-01
Firme înființate pe județe,2019-05-01,328.0000,Număr,RO-AB,ONRC,https://www.onrc.ro,https://ecifre.ro/indicatori/firme-infiintate-judete-ro/alba,2026-09-01
Firme înființate pe județe,2019-06-01,198.0000,Număr,RO-AB,ONRC,https://www.onrc.ro,https://ecifre.ro/indicatori/firme-infiintate-judete-ro/alba,2026-09-01
