indicator,date,value,unit,geography,source,source_url,ecifre_url,last_updated
PIB pe județe,2023-01-01,25196.3000,Milioane lei,RO-AB,INSSE,https://insse.ro,https://ecifre.ro/indicatori/pib-pe-judete-ro/alba,2026-09-01
PIB pe județe,2023-01-01,31107.2000,Milioane lei,RO-AR,INSSE,https://insse.ro,https://ecifre.ro/indicatori/pib-pe-judete-ro/arad,2026-09-01
PIB pe județe,2023-01-01,40522.9000,Milioane lei,RO-AG,INSSE,https://insse.ro,https://ecifre.ro/indicatori/pib-pe-judete-ro/arges,2026-09-01
PIB pe județe,2023-01-01,33355.9000,Milioane lei,RO-BC,INSSE,https://insse.ro,https://ecifre.ro/indicatori/pib-pe-judete-ro/bacau,2026-09-01
PIB pe județe,2023-01-01,36085.4000,Milioane lei,RO-BH,INSSE,https://insse.ro,https://ecifre.ro/indicatori/pib-pe-judete-ro/bihor,2026-09-01
PIB pe județe,2023-01-01,15933.0000,Milioane lei,RO-BN,INSSE,https://insse.ro,https://ecifre.ro/indicatori/pib-pe-judete-ro/bistrita-nasaud,2026-09-01
PIB pe județe,2023-01-01,15493.8000,Milioane lei,RO-BT,INSSE,https://insse.ro,https://ecifre.ro/indicatori/pib-pe-judete-ro/botosani,2026-09-01
PIB pe județe,2023-01-01,54513.0000,Milioane lei,RO-BV,INSSE,https://insse.ro,https://ecifre.ro/indicatori/pib-pe-judete-ro/brasov,2026-09-01
PIB pe județe,2023-01-01,16608.8000,Milioane lei,RO-BR,INSSE,https://insse.ro,https://ecifre.ro/indicatori/pib-pe-judete-ro/braila,2026-09-01
PIB pe județe,2023-01-01,413945.2000,Milioane lei,RO-B,INSSE,https://insse.ro,https://ecifre.ro/indicatori/pib-pe-judete-ro/bucuresti,2026-09-01
PIB pe județe,2023-01-01,21831.4000,Milioane lei,RO-BZ,INSSE,https://insse.ro,https://ecifre.ro/indicatori/pib-pe-judete-ro/buzau,2026-09-01
PIB pe județe,2023-01-01,16514.8000,Milioane lei,RO-CS,INSSE,https://insse.ro,https://ecifre.ro/indicatori/pib-pe-judete-ro/caras-severin,2026-09-01
PIB pe județe,2023-01-01,84794.1000,Milioane lei,RO-CJ,INSSE,https://insse.ro,https://ecifre.ro/indicatori/pib-pe-judete-ro/cluj,2026-09-01
PIB pe județe,2023-01-01,58021.4000,Milioane lei,RO-CT,INSSE,https://insse.ro,https://ecifre.ro/indicatori/pib-pe-judete-ro/constanta,2026-09-01
PIB pe județe,2023-01-01,11753.8000,Milioane lei,RO-CV,INSSE,https://insse.ro,https://ecifre.ro/indicatori/pib-pe-judete-ro/covasna,2026-09-01
PIB pe județe,2023-01-01,11685.4000,Milioane lei,RO-CL,INSSE,https://insse.ro,https://ecifre.ro/indicatori/pib-pe-judete-ro/calarasi,2026-09-01
PIB pe județe,2023-01-01,38480.1000,Milioane lei,RO-DJ,INSSE,https://insse.ro,https://ecifre.ro/indicatori/pib-pe-judete-ro/dolj,2026-09-01
PIB pe județe,2023-01-01,26709.6000,Milioane lei,RO-DB,INSSE,https://insse.ro,https://ecifre.ro/indicatori/pib-pe-judete-ro/dambovita,2026-09-01
PIB pe județe,2023-01-01,25338.7000,Milioane lei,RO-GL,INSSE,https://insse.ro,https://ecifre.ro/indicatori/pib-pe-judete-ro/galati,2026-09-01
PIB pe județe,2023-01-01,10283.7000,Milioane lei,RO-GR,INSSE,https://insse.ro,https://ecifre.ro/indicatori/pib-pe-judete-ro/giurgiu,2026-09-01
