indicator,date,value,unit,geography,source,source_url,ecifre_url,last_updated
Rata de natalitate pe județe,2025-01-01,6.3000,Nascuti vii la 1000 locuitori,RO-AB,INSSE,https://insse.ro,https://ecifre.ro/indicatori/rata-natalitate-judete-ro/alba,2026-09-01
Rata de natalitate pe județe,2025-01-01,6.9000,Nascuti vii la 1000 locuitori,RO-AR,INSSE,https://insse.ro,https://ecifre.ro/indicatori/rata-natalitate-judete-ro/arad,2026-09-01
Rata de natalitate pe județe,2025-01-01,6.1000,Nascuti vii la 1000 locuitori,RO-AG,INSSE,https://insse.ro,https://ecifre.ro/indicatori/rata-natalitate-judete-ro/arges,2026-09-01
Rata de natalitate pe județe,2025-01-01,6.2000,Nascuti vii la 1000 locuitori,RO-BC,INSSE,https://insse.ro,https://ecifre.ro/indicatori/rata-natalitate-judete-ro/bacau,2026-09-01
Rata de natalitate pe județe,2025-01-01,8.1000,Nascuti vii la 1000 locuitori,RO-BH,INSSE,https://insse.ro,https://ecifre.ro/indicatori/rata-natalitate-judete-ro/bihor,2026-09-01
Rata de natalitate pe județe,2025-01-01,8.5000,Nascuti vii la 1000 locuitori,RO-BN,INSSE,https://insse.ro,https://ecifre.ro/indicatori/rata-natalitate-judete-ro/bistrita-nasaud,2026-09-01
Rata de natalitate pe județe,2025-01-01,6.5000,Nascuti vii la 1000 locuitori,RO-BT,INSSE,https://insse.ro,https://ecifre.ro/indicatori/rata-natalitate-judete-ro/botosani,2026-09-01
Rata de natalitate pe județe,2025-01-01,7.4000,Nascuti vii la 1000 locuitori,RO-BV,INSSE,https://insse.ro,https://ecifre.ro/indicatori/rata-natalitate-judete-ro/brasov,2026-09-01
Rata de natalitate pe județe,2025-01-01,5.1000,Nascuti vii la 1000 locuitori,RO-BR,INSSE,https://insse.ro,https://ecifre.ro/indicatori/rata-natalitate-judete-ro/braila,2026-09-01
Rata de natalitate pe județe,2025-01-01,6.3000,Nascuti vii la 1000 locuitori,RO-B,INSSE,https://insse.ro,https://ecifre.ro/indicatori/rata-natalitate-judete-ro/bucuresti,2026-09-01
Rata de natalitate pe județe,2025-01-01,6.1000,Nascuti vii la 1000 locuitori,RO-BZ,INSSE,https://insse.ro,https://ecifre.ro/indicatori/rata-natalitate-judete-ro/buzau,2026-09-01
Rata de natalitate pe județe,2025-01-01,5.1000,Nascuti vii la 1000 locuitori,RO-CS,INSSE,https://insse.ro,https://ecifre.ro/indicatori/rata-natalitate-judete-ro/caras-severin,2026-09-01
Rata de natalitate pe județe,2025-01-01,7.8000,Nascuti vii la 1000 locuitori,RO-CJ,INSSE,https://insse.ro,https://ecifre.ro/indicatori/rata-natalitate-judete-ro/cluj,2026-09-01
Rata de natalitate pe județe,2025-01-01,6.6000,Nascuti vii la 1000 locuitori,RO-CT,INSSE,https://insse.ro,https://ecifre.ro/indicatori/rata-natalitate-judete-ro/constanta,2026-09-01
Rata de natalitate pe județe,2025-01-01,7.5000,Nascuti vii la 1000 locuitori,RO-CV,INSSE,https://insse.ro,https://ecifre.ro/indicatori/rata-natalitate-judete-ro/covasna,2026-09-01
Rata de natalitate pe județe,2025-01-01,7.4000,Nascuti vii la 1000 locuitori,RO-CL,INSSE,https://insse.ro,https://ecifre.ro/indicatori/rata-natalitate-judete-ro/calarasi,2026-09-01
Rata de natalitate pe județe,2025-01-01,6.7000,Nascuti vii la 1000 locuitori,RO-DJ,INSSE,https://insse.ro,https://ecifre.ro/indicatori/rata-natalitate-judete-ro/dolj,2026-09-01
Rata de natalitate pe județe,2025-01-01,6.5000,Nascuti vii la 1000 locuitori,RO-DB,INSSE,https://insse.ro,https://ecifre.ro/indicatori/rata-natalitate-judete-ro/dambovita,2026-09-01
Rata de natalitate pe județe,2025-01-01,5.3000,Nascuti vii la 1000 locuitori,RO-GL,INSSE,https://insse.ro,https://ecifre.ro/indicatori/rata-natalitate-judete-ro/galati,2026-09-01
Rata de natalitate pe județe,2025-01-01,7.5000,Nascuti vii la 1000 locuitori,RO-GR,INSSE,https://insse.ro,https://ecifre.ro/indicatori/rata-natalitate-judete-ro/giurgiu,2026-09-01
Rata de natalitate pe județe,2025-01-01,5.8000,Nascuti vii la 1000 locuitori,RO-GJ,INSSE,https://insse.ro,https://ecifre.ro/indicatori/rata-natalitate-judete-ro/gorj,2026-09-01
Rata de natalitate pe județe,2025-01-01,7.6000,Nascuti vii la 1000 locuitori,RO-HR,INSSE,https://insse.ro,https://ecifre.ro/indicatori/rata-natalitate-judete-ro/harghita,2026-09-01
Rata de natalitate pe județe,2025-01-01,5.0000,Nascuti vii la 1000 locuitori,RO-HD,INSSE,https://insse.ro,https://ecifre.ro/indicatori/rata-natalitate-judete-ro/hunedoara,2026-09-01
Rata de natalitate pe județe,2025-01-01,7.2000,Nascuti vii la 1000 locuitori,RO-IL,INSSE,https://insse.ro,https://ecifre.ro/indicatori/rata-natalitate-judete-ro/ialomita,2026-09-01
Rata de natalitate pe județe,2025-01-01,7.7000,Nascuti vii la 1000 locuitori,RO-IS,INSSE,https://insse.ro,https://ecifre.ro/indicatori/rata-natalitate-judete-ro/iasi,2026-09-01
