indicator,date,value,unit,geography,source,source_url,ecifre_url,last_updated
PIB nominal anual,2015-01-01,712548.6000,Milioane lei,RO,INSSE,https://insse.ro,https://ecifre.ro/indicatori/pib-nominal-anual-ro,2026-09-01
PIB nominal anual,2016-01-01,752129.1000,Milioane lei,RO,INSSE,https://insse.ro,https://ecifre.ro/indicatori/pib-nominal-anual-ro,2026-09-01
PIB nominal anual,2017-01-01,851620.6000,Milioane lei,RO,INSSE,https://insse.ro,https://ecifre.ro/indicatori/pib-nominal-anual-ro,2026-09-01
PIB nominal anual,2018-01-01,953049.2000,Milioane lei,RO,INSSE,https://insse.ro,https://ecifre.ro/indicatori/pib-nominal-anual-ro,2026-09-01
PIB nominal anual,2019-01-01,1059822.1000,Milioane lei,RO,INSSE,https://insse.ro,https://ecifre.ro/indicatori/pib-nominal-anual-ro,2026-09-01
PIB nominal anual,2020-01-01,1063650.7000,Milioane lei,RO,INSSE,https://insse.ro,https://ecifre.ro/indicatori/pib-nominal-anual-ro,2026-09-01
PIB nominal anual,2021-01-01,1186015.4000,Milioane lei,RO,INSSE,https://insse.ro,https://ecifre.ro/indicatori/pib-nominal-anual-ro,2026-09-01
PIB nominal anual,2022-01-01,1384597.8000,Milioane lei,RO,INSSE,https://insse.ro,https://ecifre.ro/indicatori/pib-nominal-anual-ro,2026-09-01
PIB nominal anual,2023-01-01,1590749.4000,Milioane lei,RO,INSSE,https://insse.ro,https://ecifre.ro/indicatori/pib-nominal-anual-ro,2026-09-01
PIB nominal anual,2024-01-01,1759183.3000,Milioane lei,RO,INSSE,https://insse.ro,https://ecifre.ro/indicatori/pib-nominal-anual-ro,2026-09-01
PIB nominal anual,2025-01-01,1916404.9000,Milioane lei,RO,INSSE,https://insse.ro,https://ecifre.ro/indicatori/pib-nominal-anual-ro,2026-09-01
