indicator,date,value,unit,geography,source,source_url,ecifre_url,last_updated
PIB real anual,2015-01-01,690022.6000,Milioane lei (prețuri comparabile),RO,INSSE,https://insse.ro,https://ecifre.ro/indicatori/pib-real-anual-ro,2026-09-01
PIB real anual,2016-01-01,732927.1000,Milioane lei (prețuri comparabile),RO,INSSE,https://insse.ro,https://ecifre.ro/indicatori/pib-real-anual-ro,2026-09-01
PIB real anual,2017-01-01,813769.6000,Milioane lei (prețuri comparabile),RO,INSSE,https://insse.ro,https://ecifre.ro/indicatori/pib-real-anual-ro,2026-09-01
PIB real anual,2018-01-01,897561.5000,Milioane lei (prețuri comparabile),RO,INSSE,https://insse.ro,https://ecifre.ro/indicatori/pib-real-anual-ro,2026-09-01
PIB real anual,2019-01-01,990792.6000,Milioane lei (prețuri comparabile),RO,INSSE,https://insse.ro,https://ecifre.ro/indicatori/pib-real-anual-ro,2026-09-01
PIB real anual,2020-01-01,1021689.5000,Milioane lei (prețuri comparabile),RO,INSSE,https://insse.ro,https://ecifre.ro/indicatori/pib-real-anual-ro,2026-09-01
PIB real anual,2021-01-01,1123080.7000,Milioane lei (prețuri comparabile),RO,INSSE,https://insse.ro,https://ecifre.ro/indicatori/pib-real-anual-ro,2026-09-01
PIB real anual,2022-01-01,1235682.1000,Milioane lei (prețuri comparabile),RO,INSSE,https://insse.ro,https://ecifre.ro/indicatori/pib-real-anual-ro,2026-09-01
PIB real anual,2023-01-01,1415858.4000,Milioane lei (prețuri comparabile),RO,INSSE,https://insse.ro,https://ecifre.ro/indicatori/pib-real-anual-ro,2026-09-01
PIB real anual,2024-01-01,1605320.7000,Milioane lei (prețuri comparabile),RO,INSSE,https://insse.ro,https://ecifre.ro/indicatori/pib-real-anual-ro,2026-09-01
PIB real anual,2025-01-01,1771107.6000,Milioane lei (prețuri comparabile),RO,INSSE,https://insse.ro,https://ecifre.ro/indicatori/pib-real-anual-ro,2026-09-01
