indicator,date,value,unit,geography,source,source_url,ecifre_url,last_updated
Inflație anuală (România),2015-01-01,100.4100,Indice (aceeași lună anul anterior=100),RO,INSSE,https://insse.ro,https://ecifre.ro/indicatori/inflatie-anuala-ro,2026-09-01
Inflație anuală (România),2015-02-01,100.4000,Indice (aceeași lună anul anterior=100),RO,INSSE,https://insse.ro,https://ecifre.ro/indicatori/inflatie-anuala-ro,2026-09-01
Inflație anuală (România),2015-03-01,100.7900,Indice (aceeași lună anul anterior=100),RO,INSSE,https://insse.ro,https://ecifre.ro/indicatori/inflatie-anuala-ro,2026-09-01
Inflație anuală (România),2015-04-01,100.6500,Indice (aceeași lună anul anterior=100),RO,INSSE,https://insse.ro,https://ecifre.ro/indicatori/inflatie-anuala-ro,2026-09-01
Inflație anuală (România),2015-05-01,101.1600,Indice (aceeași lună anul anterior=100),RO,INSSE,https://insse.ro,https://ecifre.ro/indicatori/inflatie-anuala-ro,2026-09-01
Inflație anuală (România),2015-06-01,98.4500,Indice (aceeași lună anul anterior=100),RO,INSSE,https://insse.ro,https://ecifre.ro/indicatori/inflatie-anuala-ro,2026-09-01
Inflație anuală (România),2015-07-01,98.3300,Indice (aceeași lună anul anterior=100),RO,INSSE,https://insse.ro,https://ecifre.ro/indicatori/inflatie-anuala-ro,2026-09-01
Inflație anuală (România),2015-08-01,98.1300,Indice (aceeași lună anul anterior=100),RO,INSSE,https://insse.ro,https://ecifre.ro/indicatori/inflatie-anuala-ro,2026-09-01
Inflație anuală (România),2015-09-01,98.2700,Indice (aceeași lună anul anterior=100),RO,INSSE,https://insse.ro,https://ecifre.ro/indicatori/inflatie-anuala-ro,2026-09-01
Inflație anuală (România),2015-10-01,98.3600,Indice (aceeași lună anul anterior=100),RO,INSSE,https://insse.ro,https://ecifre.ro/indicatori/inflatie-anuala-ro,2026-09-01
Inflație anuală (România),2015-11-01,98.8600,Indice (aceeași lună anul anterior=100),RO,INSSE,https://insse.ro,https://ecifre.ro/indicatori/inflatie-anuala-ro,2026-09-01
Inflație anuală (România),2015-12-01,99.0700,Indice (aceeași lună anul anterior=100),RO,INSSE,https://insse.ro,https://ecifre.ro/indicatori/inflatie-anuala-ro,2026-09-01
Inflație anuală (România),2016-01-01,97.8700,Indice (aceeași lună anul anterior=100),RO,INSSE,https://insse.ro,https://ecifre.ro/indicatori/inflatie-anuala-ro,2026-09-01
Inflație anuală (România),2016-02-01,97.3200,Indice (aceeași lună anul anterior=100),RO,INSSE,https://insse.ro,https://ecifre.ro/indicatori/inflatie-anuala-ro,2026-09-01
Inflație anuală (România),2016-03-01,97.0200,Indice (aceeași lună anul anterior=100),RO,INSSE,https://insse.ro,https://ecifre.ro/indicatori/inflatie-anuala-ro,2026-09-01
Inflație anuală (România),2016-04-01,96.7500,Indice (aceeași lună anul anterior=100),RO,INSSE,https://insse.ro,https://ecifre.ro/indicatori/inflatie-anuala-ro,2026-09-01
Inflație anuală (România),2016-05-01,96.5400,Indice (aceeași lună anul anterior=100),RO,INSSE,https://insse.ro,https://ecifre.ro/indicatori/inflatie-anuala-ro,2026-09-01
Inflație anuală (România),2016-06-01,99.3000,Indice (aceeași lună anul anterior=100),RO,INSSE,https://insse.ro,https://ecifre.ro/indicatori/inflatie-anuala-ro,2026-09-01
Inflație anuală (România),2016-07-01,99.2200,Indice (aceeași lună anul anterior=100),RO,INSSE,https://insse.ro,https://ecifre.ro/indicatori/inflatie-anuala-ro,2026-09-01
Inflație anuală (România),2016-08-01,99.8000,Indice (aceeași lună anul anterior=100),RO,INSSE,https://insse.ro,https://ecifre.ro/indicatori/inflatie-anuala-ro,2026-09-01
Inflație anuală (România),2016-09-01,99.4300,Indice (aceeași lună anul anterior=100),RO,INSSE,https://insse.ro,https://ecifre.ro/indicatori/inflatie-anuala-ro,2026-09-01
