indicator,date,value,unit,geography,source,source_url,ecifre_url,last_updated
Inflație lunară (România),2015-01-01,100.4300,Indice (luna anterioară=100),RO,INSSE,https://insse.ro,https://ecifre.ro/indicatori/inflatie-lunara-ro,2026-09-01
Inflație lunară (România),2015-02-01,100.3300,Indice (luna anterioară=100),RO,INSSE,https://insse.ro,https://ecifre.ro/indicatori/inflatie-lunara-ro,2026-09-01
Inflație lunară (România),2015-03-01,100.4100,Indice (luna anterioară=100),RO,INSSE,https://insse.ro,https://ecifre.ro/indicatori/inflatie-lunara-ro,2026-09-01
Inflație lunară (România),2015-04-01,100.1300,Indice (luna anterioară=100),RO,INSSE,https://insse.ro,https://ecifre.ro/indicatori/inflatie-lunara-ro,2026-09-01
Inflație lunară (România),2015-05-01,100.4700,Indice (luna anterioară=100),RO,INSSE,https://insse.ro,https://ecifre.ro/indicatori/inflatie-lunara-ro,2026-09-01
Inflație lunară (România),2015-06-01,97.0500,Indice (luna anterioară=100),RO,INSSE,https://insse.ro,https://ecifre.ro/indicatori/inflatie-lunara-ro,2026-09-01
Inflație lunară (România),2015-07-01,99.8300,Indice (luna anterioară=100),RO,INSSE,https://insse.ro,https://ecifre.ro/indicatori/inflatie-lunara-ro,2026-09-01
Inflație lunară (România),2015-08-01,99.4900,Indice (luna anterioară=100),RO,INSSE,https://insse.ro,https://ecifre.ro/indicatori/inflatie-lunara-ro,2026-09-01
Inflație lunară (România),2015-09-01,100.2600,Indice (luna anterioară=100),RO,INSSE,https://insse.ro,https://ecifre.ro/indicatori/inflatie-lunara-ro,2026-09-01
Inflație lunară (România),2015-10-01,100.2800,Indice (luna anterioară=100),RO,INSSE,https://insse.ro,https://ecifre.ro/indicatori/inflatie-lunara-ro,2026-09-01
Inflație lunară (România),2015-11-01,100.3100,Indice (luna anterioară=100),RO,INSSE,https://insse.ro,https://ecifre.ro/indicatori/inflatie-lunara-ro,2026-09-01
Inflație lunară (România),2015-12-01,100.1100,Indice (luna anterioară=100),RO,INSSE,https://insse.ro,https://ecifre.ro/indicatori/inflatie-lunara-ro,2026-09-01
Inflație lunară (România),2016-01-01,99.2200,Indice (luna anterioară=100),RO,INSSE,https://insse.ro,https://ecifre.ro/indicatori/inflatie-lunara-ro,2026-09-01
Inflație lunară (România),2016-02-01,99.7600,Indice (luna anterioară=100),RO,INSSE,https://insse.ro,https://ecifre.ro/indicatori/inflatie-lunara-ro,2026-09-01
Inflație lunară (România),2016-03-01,100.1000,Indice (luna anterioară=100),RO,INSSE,https://insse.ro,https://ecifre.ro/indicatori/inflatie-lunara-ro,2026-09-01
Inflație lunară (România),2016-04-01,99.8500,Indice (luna anterioară=100),RO,INSSE,https://insse.ro,https://ecifre.ro/indicatori/inflatie-lunara-ro,2026-09-01
Inflație lunară (România),2016-05-01,100.2500,Indice (luna anterioară=100),RO,INSSE,https://insse.ro,https://ecifre.ro/indicatori/inflatie-lunara-ro,2026-09-01
Inflație lunară (România),2016-06-01,99.8300,Indice (luna anterioară=100),RO,INSSE,https://insse.ro,https://ecifre.ro/indicatori/inflatie-lunara-ro,2026-09-01
Inflație lunară (România),2016-07-01,99.7600,Indice (luna anterioară=100),RO,INSSE,https://insse.ro,https://ecifre.ro/indicatori/inflatie-lunara-ro,2026-09-01
Inflație lunară (România),2016-08-01,100.0700,Indice (luna anterioară=100),RO,INSSE,https://insse.ro,https://ecifre.ro/indicatori/inflatie-lunara-ro,2026-09-01
Inflație lunară (România),2016-09-01,99.8900,Indice (luna anterioară=100),RO,INSSE,https://insse.ro,https://ecifre.ro/indicatori/inflatie-lunara-ro,2026-09-01
Inflație lunară (România),2016-10-01,100.4300,Indice (luna anterioară=100),RO,INSSE,https://insse.ro,https://ecifre.ro/indicatori/inflatie-lunara-ro,2026-09-01
Inflație lunară (România),2016-11-01,100.0700,Indice (luna anterioară=100),RO,INSSE,https://insse.ro,https://ecifre.ro/indicatori/inflatie-lunara-ro,2026-09-01
Inflație lunară (România),2016-12-01,100.2400,Indice (luna anterioară=100),RO,INSSE,https://insse.ro,https://ecifre.ro/indicatori/inflatie-lunara-ro,2026-09-01
Inflație lunară (România),2017-01-01,99.8100,Indice (luna anterioară=100),RO,INSSE,https://insse.ro,https://ecifre.ro/indicatori/inflatie-lunara-ro,2026-09-01
Inflație lunară (România),2017-02-01,99.9100,Indice (luna anterioară=100),RO,INSSE,https://insse.ro,https://ecifre.ro/indicatori/inflatie-lunara-ro,2026-09-01
Inflație lunară (România),2017-03-01,100.0800,Indice (luna anterioară=100),RO,INSSE,https://insse.ro,https://ecifre.ro/indicatori/inflatie-lunara-ro,2026-09-01
Inflație lunară (România),2017-04-01,100.2800,Indice (luna anterioară=100),RO,INSSE,https://insse.ro,https://ecifre.ro/indicatori/inflatie-lunara-ro,2026-09-01
Inflație lunară (România),2017-05-01,100.2800,Indice (luna anterioară=100),RO,INSSE,https://insse.ro,https://ecifre.ro/indicatori/inflatie-lunara-ro,2026-09-01
Inflație lunară (România),2017-06-01,100.0400,Indice (luna anterioară=100),RO,INSSE,https://insse.ro,https://ecifre.ro/indicatori/inflatie-lunara-ro,2026-09-01
Inflație lunară (România),2017-07-01,100.3200,Indice (luna anterioară=100),RO,INSSE,https://insse.ro,https://ecifre.ro/indicatori/inflatie-lunara-ro,2026-09-01
Inflație lunară (România),2017-08-01,99.8000,Indice (luna anterioară=100),RO,INSSE,https://insse.ro,https://ecifre.ro/indicatori/inflatie-lunara-ro,2026-09-01
Inflație lunară (România),2017-09-01,100.5000,Indice (luna anterioară=100),RO,INSSE,https://insse.ro,https://ecifre.ro/indicatori/inflatie-lunara-ro,2026-09-01
Inflație lunară (România),2017-10-01,101.2800,Indice (luna anterioară=100),RO,INSSE,https://insse.ro,https://ecifre.ro/indicatori/inflatie-lunara-ro,2026-09-01
Inflație lunară (România),2017-11-01,100.6600,Indice (luna anterioară=100),RO,INSSE,https://insse.ro,https://ecifre.ro/indicatori/inflatie-lunara-ro,2026-09-01
Inflație lunară (România),2017-12-01,100.3200,Indice (luna anterioară=100),RO,INSSE,https://insse.ro,https://ecifre.ro/indicatori/inflatie-lunara-ro,2026-09-01
Inflație lunară (România),2018-01-01,100.7800,Indice (luna anterioară=100),RO,INSSE,https://insse.ro,https://ecifre.ro/indicatori/inflatie-lunara-ro,2026-09-01
Inflație lunară (România),2018-02-01,100.3000,Indice (luna anterioară=100),RO,INSSE,https://insse.ro,https://ecifre.ro/indicatori/inflatie-lunara-ro,2026-09-01
Inflație lunară (România),2018-03-01,100.2900,Indice (luna anterioară=100),RO,INSSE,https://insse.ro,https://ecifre.ro/indicatori/inflatie-lunara-ro,2026-09-01
Inflație lunară (România),2018-04-01,100.5400,Indice (luna anterioară=100),RO,INSSE,https://insse.ro,https://ecifre.ro/indicatori/inflatie-lunara-ro,2026-09-01
Inflație lunară (România),2018-05-01,100.4700,Indice (luna anterioară=100),RO,INSSE,https://insse.ro,https://ecifre.ro/indicatori/inflatie-lunara-ro,2026-09-01
Inflație lunară (România),2018-06-01,100.0200,Indice (luna anterioară=100),RO,INSSE,https://insse.ro,https://ecifre.ro/indicatori/inflatie-lunara-ro,2026-09-01
Inflație lunară (România),2018-07-01,99.5200,Indice (luna anterioară=100),RO,INSSE,https://insse.ro,https://ecifre.ro/indicatori/inflatie-lunara-ro,2026-09-01
Inflație lunară (România),2018-08-01,100.2800,Indice (luna anterioară=100),RO,INSSE,https://insse.ro,https://ecifre.ro/indicatori/inflatie-lunara-ro,2026-09-01
Inflație lunară (România),2018-09-01,100.4700,Indice (luna anterioară=100),RO,INSSE,https://insse.ro,https://ecifre.ro/indicatori/inflatie-lunara-ro,2026-09-01
Inflație lunară (România),2018-10-01,100.5200,Indice (luna anterioară=100),RO,INSSE,https://insse.ro,https://ecifre.ro/indicatori/inflatie-lunara-ro,2026-09-01
Inflație lunară (România),2018-11-01,99.8700,Indice (luna anterioară=100),RO,INSSE,https://insse.ro,https://ecifre.ro/indicatori/inflatie-lunara-ro,2026-09-01
Inflație lunară (România),2018-12-01,100.1600,Indice (luna anterioară=100),RO,INSSE,https://insse.ro,https://ecifre.ro/indicatori/inflatie-lunara-ro,2026-09-01
Inflație lunară (România),2019-01-01,100.8300,Indice (luna anterioară=100),RO,INSSE,https://insse.ro,https://ecifre.ro/indicatori/inflatie-lunara-ro,2026-09-01
Inflație lunară (România),2019-02-01,100.7900,Indice (luna anterioară=100),RO,INSSE,https://insse.ro,https://ecifre.ro/indicatori/inflatie-lunara-ro,2026-09-01
Inflație lunară (România),2019-03-01,100.4900,Indice (luna anterioară=100),RO,INSSE,https://insse.ro,https://ecifre.ro/indicatori/inflatie-lunara-ro,2026-09-01
Inflație lunară (România),2019-04-01,100.6100,Indice (luna anterioară=100),RO,INSSE,https://insse.ro,https://ecifre.ro/indicatori/inflatie-lunara-ro,2026-09-01
Inflație lunară (România),2019-05-01,100.4600,Indice (luna anterioară=100),RO,INSSE,https://insse.ro,https://ecifre.ro/indicatori/inflatie-lunara-ro,2026-09-01
Inflație lunară (România),2019-06-01,99.7700,Indice (luna anterioară=100),RO,INSSE,https://insse.ro,https://ecifre.ro/indicatori/inflatie-lunara-ro,2026-09-01
Inflație lunară (România),2019-07-01,99.8000,Indice (luna anterioară=100),RO,INSSE,https://insse.ro,https://ecifre.ro/indicatori/inflatie-lunara-ro,2026-09-01
Inflație lunară (România),2019-08-01,100.0600,Indice (luna anterioară=100),RO,INSSE,https://insse.ro,https://ecifre.ro/indicatori/inflatie-lunara-ro,2026-09-01
Inflație lunară (România),2019-09-01,100.0900,Indice (luna anterioară=100),RO,INSSE,https://insse.ro,https://ecifre.ro/indicatori/inflatie-lunara-ro,2026-09-01
Inflație lunară (România),2019-10-01,100.4300,Indice (luna anterioară=100),RO,INSSE,https://insse.ro,https://ecifre.ro/indicatori/inflatie-lunara-ro,2026-09-01
Inflație lunară (România),2019-11-01,100.2300,Indice (luna anterioară=100),RO,INSSE,https://insse.ro,https://ecifre.ro/indicatori/inflatie-lunara-ro,2026-09-01
