indicator,date,value,unit,geography,source,source_url,ecifre_url,last_updated
Populația dependentă demografic pe județe,2025-01-01,117684.0000,Număr persoane,RO-AB,INSSE,https://insse.ro,https://ecifre.ro/indicatori/populatie-dependenta-judete-ro/alba,2026-09-01
Populația dependentă demografic pe județe,2025-01-01,145688.0000,Număr persoane,RO-AR,INSSE,https://insse.ro,https://ecifre.ro/indicatori/populatie-dependenta-judete-ro/arad,2026-09-01
Populația dependentă demografic pe județe,2025-01-01,197632.0000,Număr persoane,RO-AG,INSSE,https://insse.ro,https://ecifre.ro/indicatori/populatie-dependenta-judete-ro/arges,2026-09-01
Populația dependentă demografic pe județe,2025-01-01,216582.0000,Număr persoane,RO-BC,INSSE,https://insse.ro,https://ecifre.ro/indicatori/populatie-dependenta-judete-ro/bacau,2026-09-01
Populația dependentă demografic pe județe,2025-01-01,194748.0000,Număr persoane,RO-BH,INSSE,https://insse.ro,https://ecifre.ro/indicatori/populatie-dependenta-judete-ro/bihor,2026-09-01
Populația dependentă demografic pe județe,2025-01-01,104001.0000,Număr persoane,RO-BN,INSSE,https://insse.ro,https://ecifre.ro/indicatori/populatie-dependenta-judete-ro/bistrita-nasaud,2026-09-01
Populația dependentă demografic pe județe,2025-01-01,133567.0000,Număr persoane,RO-BT,INSSE,https://insse.ro,https://ecifre.ro/indicatori/populatie-dependenta-judete-ro/botosani,2026-09-01
Populația dependentă demografic pe județe,2025-01-01,211711.0000,Număr persoane,RO-BV,INSSE,https://insse.ro,https://ecifre.ro/indicatori/populatie-dependenta-judete-ro/brasov,2026-09-01
Populația dependentă demografic pe județe,2025-01-01,100398.0000,Număr persoane,RO-BR,INSSE,https://insse.ro,https://ecifre.ro/indicatori/populatie-dependenta-judete-ro/braila,2026-09-01
Populația dependentă demografic pe județe,2025-01-01,593334.0000,Număr persoane,RO-B,INSSE,https://insse.ro,https://ecifre.ro/indicatori/populatie-dependenta-judete-ro/bucuresti,2026-09-01
Populația dependentă demografic pe județe,2025-01-01,147547.0000,Număr persoane,RO-BZ,INSSE,https://insse.ro,https://ecifre.ro/indicatori/populatie-dependenta-judete-ro/buzau,2026-09-01
Populația dependentă demografic pe județe,2025-01-01,91134.0000,Număr persoane,RO-CS,INSSE,https://insse.ro,https://ecifre.ro/indicatori/populatie-dependenta-judete-ro/caras-severin,2026-09-01
Populația dependentă demografic pe județe,2025-01-01,242057.0000,Număr persoane,RO-CJ,INSSE,https://insse.ro,https://ecifre.ro/indicatori/populatie-dependenta-judete-ro/cluj,2026-09-01
Populația dependentă demografic pe județe,2025-01-01,236473.0000,Număr persoane,RO-CT,INSSE,https://insse.ro,https://ecifre.ro/indicatori/populatie-dependenta-judete-ro/constanta,2026-09-01
