indicator,date,value,unit,geography,source,source_url,ecifre_url,last_updated
Populația pe județe (România),2012-01-01,341479.0000,Număr persoane,RO-AB,INSSE,https://insse.ro,https://ecifre.ro/indicatori/populatie-judete-ro/alba,2026-09-01
Populația pe județe (România),2013-01-01,339517.0000,Număr persoane,RO-AB,INSSE,https://insse.ro,https://ecifre.ro/indicatori/populatie-judete-ro/alba,2026-09-01
Populația pe județe (România),2014-01-01,337717.0000,Număr persoane,RO-AB,INSSE,https://insse.ro,https://ecifre.ro/indicatori/populatie-judete-ro/alba,2026-09-01
Populația pe județe (România),2015-01-01,335915.0000,Număr persoane,RO-AB,INSSE,https://insse.ro,https://ecifre.ro/indicatori/populatie-judete-ro/alba,2026-09-01
Populația pe județe (România),2016-01-01,333488.0000,Număr persoane,RO-AB,INSSE,https://insse.ro,https://ecifre.ro/indicatori/populatie-judete-ro/alba,2026-09-01
Populația pe județe (România),2017-01-01,330954.0000,Număr persoane,RO-AB,INSSE,https://insse.ro,https://ecifre.ro/indicatori/populatie-judete-ro/alba,2026-09-01
Populația pe județe (România),2018-01-01,328264.0000,Număr persoane,RO-AB,INSSE,https://insse.ro,https://ecifre.ro/indicatori/populatie-judete-ro/alba,2026-09-01
Populația pe județe (România),2019-01-01,325475.0000,Număr persoane,RO-AB,INSSE,https://insse.ro,https://ecifre.ro/indicatori/populatie-judete-ro/alba,2026-09-01
Populația pe județe (România),2020-01-01,324071.0000,Număr persoane,RO-AB,INSSE,https://insse.ro,https://ecifre.ro/indicatori/populatie-judete-ro/alba,2026-09-01
Populația pe județe (România),2021-01-01,321199.0000,Număr persoane,RO-AB,INSSE,https://insse.ro,https://ecifre.ro/indicatori/populatie-judete-ro/alba,2026-09-01
Populația pe județe (România),2022-01-01,325715.0000,Număr persoane,RO-AB,INSSE,https://insse.ro,https://ecifre.ro/indicatori/populatie-judete-ro/alba,2026-09-01
Populația pe județe (România),2023-01-01,325838.0000,Număr persoane,RO-AB,INSSE,https://insse.ro,https://ecifre.ro/indicatori/populatie-judete-ro/alba,2026-09-01
Populația pe județe (România),2024-01-01,325697.0000,Număr persoane,RO-AB,INSSE,https://insse.ro,https://ecifre.ro/indicatori/populatie-judete-ro/alba,2026-09-01
Populația pe județe (România),2025-01-01,325260.0000,Număr persoane,RO-AB,INSSE,https://insse.ro,https://ecifre.ro/indicatori/populatie-judete-ro/alba,2026-09-01
Populația pe județe (România),2012-01-01,430683.0000,Număr persoane,RO-AR,INSSE,https://insse.ro,https://ecifre.ro/indicatori/populatie-judete-ro/arad,2026-09-01
Populația pe județe (România),2013-01-01,429625.0000,Număr persoane,RO-AR,INSSE,https://insse.ro,https://ecifre.ro/indicatori/populatie-judete-ro/arad,2026-09-01
Populația pe județe (România),2014-01-01,428079.0000,Număr persoane,RO-AR,INSSE,https://insse.ro,https://ecifre.ro/indicatori/populatie-judete-ro/arad,2026-09-01
Populația pe județe (România),2015-01-01,426517.0000,Număr persoane,RO-AR,INSSE,https://insse.ro,https://ecifre.ro/indicatori/populatie-judete-ro/arad,2026-09-01
Populația pe județe (România),2016-01-01,424075.0000,Număr persoane,RO-AR,INSSE,https://insse.ro,https://ecifre.ro/indicatori/populatie-judete-ro/arad,2026-09-01
Populația pe județe (România),2017-01-01,421954.0000,Număr persoane,RO-AR,INSSE,https://insse.ro,https://ecifre.ro/indicatori/populatie-judete-ro/arad,2026-09-01
Populația pe județe (România),2018-01-01,419135.0000,Număr persoane,RO-AR,INSSE,https://insse.ro,https://ecifre.ro/indicatori/populatie-judete-ro/arad,2026-09-01
Populația pe județe (România),2019-01-01,417274.0000,Număr persoane,RO-AR,INSSE,https://insse.ro,https://ecifre.ro/indicatori/populatie-judete-ro/arad,2026-09-01
Populația pe județe (România),2020-01-01,415914.0000,Număr persoane,RO-AR,INSSE,https://insse.ro,https://ecifre.ro/indicatori/populatie-judete-ro/arad,2026-09-01
Populația pe județe (România),2021-01-01,413035.0000,Număr persoane,RO-AR,INSSE,https://insse.ro,https://ecifre.ro/indicatori/populatie-judete-ro/arad,2026-09-01
Populația pe județe (România),2022-01-01,410282.0000,Număr persoane,RO-AR,INSSE,https://insse.ro,https://ecifre.ro/indicatori/populatie-judete-ro/arad,2026-09-01
Populația pe județe (România),2023-01-01,410451.0000,Număr persoane,RO-AR,INSSE,https://insse.ro,https://ecifre.ro/indicatori/populatie-judete-ro/arad,2026-09-01
Populația pe județe (România),2024-01-01,410871.0000,Număr persoane,RO-AR,INSSE,https://insse.ro,https://ecifre.ro/indicatori/populatie-judete-ro/arad,2026-09-01
Populația pe județe (România),2025-01-01,410320.0000,Număr persoane,RO-AR,INSSE,https://insse.ro,https://ecifre.ro/indicatori/populatie-judete-ro/arad,2026-09-01
Populația pe județe (România),2012-01-01,611024.0000,Număr persoane,RO-AG,INSSE,https://insse.ro,https://ecifre.ro/indicatori/populatie-judete-ro/arges,2026-09-01
Populația pe județe (România),2013-01-01,606789.0000,Număr persoane,RO-AG,INSSE,https://insse.ro,https://ecifre.ro/indicatori/populatie-judete-ro/arges,2026-09-01
Populația pe județe (România),2014-01-01,604153.0000,Număr persoane,RO-AG,INSSE,https://insse.ro,https://ecifre.ro/indicatori/populatie-judete-ro/arges,2026-09-01
Populația pe județe (România),2015-01-01,600301.0000,Număr persoane,RO-AG,INSSE,https://insse.ro,https://ecifre.ro/indicatori/populatie-judete-ro/arges,2026-09-01
Populația pe județe (România),2016-01-01,595764.0000,Număr persoane,RO-AG,INSSE,https://insse.ro,https://ecifre.ro/indicatori/populatie-judete-ro/arges,2026-09-01
Populația pe județe (România),2017-01-01,590522.0000,Număr persoane,RO-AG,INSSE,https://insse.ro,https://ecifre.ro/indicatori/populatie-judete-ro/arges,2026-09-01
Populația pe județe (România),2018-01-01,585713.0000,Număr persoane,RO-AG,INSSE,https://insse.ro,https://ecifre.ro/indicatori/populatie-judete-ro/arges,2026-09-01
Populația pe județe (România),2019-01-01,579904.0000,Număr persoane,RO-AG,INSSE,https://insse.ro,https://ecifre.ro/indicatori/populatie-judete-ro/arges,2026-09-01
Populația pe județe (România),2020-01-01,575197.0000,Număr persoane,RO-AG,INSSE,https://insse.ro,https://ecifre.ro/indicatori/populatie-judete-ro/arges,2026-09-01
Populația pe județe (România),2021-01-01,567851.0000,Număr persoane,RO-AG,INSSE,https://insse.ro,https://ecifre.ro/indicatori/populatie-judete-ro/arges,2026-09-01
Populația pe județe (România),2022-01-01,566913.0000,Număr persoane,RO-AG,INSSE,https://insse.ro,https://ecifre.ro/indicatori/populatie-judete-ro/arges,2026-09-01
Populația pe județe (România),2023-01-01,565747.0000,Număr persoane,RO-AG,INSSE,https://insse.ro,https://ecifre.ro/indicatori/populatie-judete-ro/arges,2026-09-01
Populația pe județe (România),2024-01-01,564829.0000,Număr persoane,RO-AG,INSSE,https://insse.ro,https://ecifre.ro/indicatori/populatie-judete-ro/arges,2026-09-01
Populația pe județe (România),2025-01-01,561990.0000,Număr persoane,RO-AG,INSSE,https://insse.ro,https://ecifre.ro/indicatori/populatie-judete-ro/arges,2026-09-01
Populația pe județe (România),2012-01-01,614316.0000,Număr persoane,RO-BC,INSSE,https://insse.ro,https://ecifre.ro/indicatori/populatie-judete-ro/bacau,2026-09-01
Populația pe județe (România),2013-01-01,609948.0000,Număr persoane,RO-BC,INSSE,https://insse.ro,https://ecifre.ro/indicatori/populatie-judete-ro/bacau,2026-09-01
Populația pe județe (România),2014-01-01,606975.0000,Număr persoane,RO-BC,INSSE,https://insse.ro,https://ecifre.ro/indicatori/populatie-judete-ro/bacau,2026-09-01
Populația pe județe (România),2015-01-01,604567.0000,Număr persoane,RO-BC,INSSE,https://insse.ro,https://ecifre.ro/indicatori/populatie-judete-ro/bacau,2026-09-01
Populația pe județe (România),2016-01-01,600549.0000,Număr persoane,RO-BC,INSSE,https://insse.ro,https://ecifre.ro/indicatori/populatie-judete-ro/bacau,2026-09-01
Populația pe județe (România),2017-01-01,595534.0000,Număr persoane,RO-BC,INSSE,https://insse.ro,https://ecifre.ro/indicatori/populatie-judete-ro/bacau,2026-09-01
Populația pe județe (România),2018-01-01,591053.0000,Număr persoane,RO-BC,INSSE,https://insse.ro,https://ecifre.ro/indicatori/populatie-judete-ro/bacau,2026-09-01
Populația pe județe (România),2019-01-01,585548.0000,Număr persoane,RO-BC,INSSE,https://insse.ro,https://ecifre.ro/indicatori/populatie-judete-ro/bacau,2026-09-01
Populația pe județe (România),2020-01-01,582495.0000,Număr persoane,RO-BC,INSSE,https://insse.ro,https://ecifre.ro/indicatori/populatie-judete-ro/bacau,2026-09-01
Populația pe județe (România),2021-01-01,576683.0000,Număr persoane,RO-BC,INSSE,https://insse.ro,https://ecifre.ro/indicatori/populatie-judete-ro/bacau,2026-09-01
Populația pe județe (România),2022-01-01,599435.0000,Număr persoane,RO-BC,INSSE,https://insse.ro,https://ecifre.ro/indicatori/populatie-judete-ro/bacau,2026-09-01
Populația pe județe (România),2023-01-01,597504.0000,Număr persoane,RO-BC,INSSE,https://insse.ro,https://ecifre.ro/indicatori/populatie-judete-ro/bacau,2026-09-01
Populația pe județe (România),2024-01-01,595888.0000,Număr persoane,RO-BC,INSSE,https://insse.ro,https://ecifre.ro/indicatori/populatie-judete-ro/bacau,2026-09-01
Populația pe județe (România),2025-01-01,591999.0000,Număr persoane,RO-BC,INSSE,https://insse.ro,https://ecifre.ro/indicatori/populatie-judete-ro/bacau,2026-09-01
Populația pe județe (România),2012-01-01,575731.0000,Număr persoane,RO-BH,INSSE,https://insse.ro,https://ecifre.ro/indicatori/populatie-judete-ro/bihor,2026-09-01
Populația pe județe (România),2013-01-01,575270.0000,Număr persoane,RO-BH,INSSE,https://insse.ro,https://ecifre.ro/indicatori/populatie-judete-ro/bihor,2026-09-01
Populația pe județe (România),2014-01-01,573769.0000,Număr persoane,RO-BH,INSSE,https://insse.ro,https://ecifre.ro/indicatori/populatie-judete-ro/bihor,2026-09-01
Populația pe județe (România),2015-01-01,572057.0000,Număr persoane,RO-BH,INSSE,https://insse.ro,https://ecifre.ro/indicatori/populatie-judete-ro/bihor,2026-09-01
Populația pe județe (România),2016-01-01,568969.0000,Număr persoane,RO-BH,INSSE,https://insse.ro,https://ecifre.ro/indicatori/populatie-judete-ro/bihor,2026-09-01
Populația pe județe (România),2017-01-01,566381.0000,Număr persoane,RO-BH,INSSE,https://insse.ro,https://ecifre.ro/indicatori/populatie-judete-ro/bihor,2026-09-01
Populația pe județe (România),2018-01-01,564171.0000,Număr persoane,RO-BH,INSSE,https://insse.ro,https://ecifre.ro/indicatori/populatie-judete-ro/bihor,2026-09-01
Populația pe județe (România),2019-01-01,561621.0000,Număr persoane,RO-BH,INSSE,https://insse.ro,https://ecifre.ro/indicatori/populatie-judete-ro/bihor,2026-09-01
Populația pe județe (România),2020-01-01,560646.0000,Număr persoane,RO-BH,INSSE,https://insse.ro,https://ecifre.ro/indicatori/populatie-judete-ro/bihor,2026-09-01
Populația pe județe (România),2021-01-01,557836.0000,Număr persoane,RO-BH,INSSE,https://insse.ro,https://ecifre.ro/indicatori/populatie-judete-ro/bihor,2026-09-01
Populația pe județe (România),2022-01-01,552031.0000,Număr persoane,RO-BH,INSSE,https://insse.ro,https://ecifre.ro/indicatori/populatie-judete-ro/bihor,2026-09-01
