indicator,date,value,unit,geography,source,source_url,ecifre_url,last_updated
Cheltuieli bugetare (România),2024-02-29,115659.9307,Milioane lei,RO,MFIN,https://mfinante.gov.ro,https://ecifre.ro/indicatori/cheltuieli-bugetare-ro,2026-09-02
Cheltuieli bugetare (România),2024-03-31,168041.1006,Milioane lei,RO,MFIN,https://mfinante.gov.ro,https://ecifre.ro/indicatori/cheltuieli-bugetare-ro,2026-09-02
Cheltuieli bugetare (România),2024-04-30,239986.2237,Milioane lei,RO,MFIN,https://mfinante.gov.ro,https://ecifre.ro/indicatori/cheltuieli-bugetare-ro,2026-09-02
Cheltuieli bugetare (România),2024-05-31,285484.9413,Milioane lei,RO,MFIN,https://mfinante.gov.ro,https://ecifre.ro/indicatori/cheltuieli-bugetare-ro,2026-09-02
Cheltuieli bugetare (România),2024-06-30,339169.5972,Milioane lei,RO,MFIN,https://mfinante.gov.ro,https://ecifre.ro/indicatori/cheltuieli-bugetare-ro,2026-09-02
Cheltuieli bugetare (România),2024-07-31,402596.7676,Milioane lei,RO,MFIN,https://mfinante.gov.ro,https://ecifre.ro/indicatori/cheltuieli-bugetare-ro,2026-09-02
Cheltuieli bugetare (România),2024-08-31,456634.5522,Milioane lei,RO,MFIN,https://mfinante.gov.ro,https://ecifre.ro/indicatori/cheltuieli-bugetare-ro,2026-09-02
Cheltuieli bugetare (România),2024-09-30,512221.3721,Milioane lei,RO,MFIN,https://mfinante.gov.ro,https://ecifre.ro/indicatori/cheltuieli-bugetare-ro,2026-09-02
Cheltuieli bugetare (România),2024-10-31,582942.5300,Milioane lei,RO,MFIN,https://mfinante.gov.ro,https://ecifre.ro/indicatori/cheltuieli-bugetare-ro,2026-09-02
Cheltuieli bugetare (România),2024-11-30,649656.6450,Milioane lei,RO,MFIN,https://mfinante.gov.ro,https://ecifre.ro/indicatori/cheltuieli-bugetare-ro,2026-09-02
Cheltuieli bugetare (România),2024-12-31,727316.1683,Milioane lei,RO,MFIN,https://mfinante.gov.ro,https://ecifre.ro/indicatori/cheltuieli-bugetare-ro,2026-09-02
Cheltuieli bugetare (România),2025-01-31,57757.5215,Milioane lei,RO,MFIN,https://mfinante.gov.ro,https://ecifre.ro/indicatori/cheltuieli-bugetare-ro,2026-09-02
Cheltuieli bugetare (România),2025-02-28,119900.8499,Milioane lei,RO,MFIN,https://mfinante.gov.ro,https://ecifre.ro/indicatori/cheltuieli-bugetare-ro,2026-09-02
Cheltuieli bugetare (România),2025-03-31,184981.6415,Milioane lei,RO,MFIN,https://mfinante.gov.ro,https://ecifre.ro/indicatori/cheltuieli-bugetare-ro,2026-09-02
Cheltuieli bugetare (România),2025-04-30,255893.0749,Milioane lei,RO,MFIN,https://mfinante.gov.ro,https://ecifre.ro/indicatori/cheltuieli-bugetare-ro,2026-09-02
Cheltuieli bugetare (România),2025-05-31,320227.0351,Milioane lei,RO,MFIN,https://mfinante.gov.ro,https://ecifre.ro/indicatori/cheltuieli-bugetare-ro,2026-09-02
Cheltuieli bugetare (România),2025-06-30,380315.8357,Milioane lei,RO,MFIN,https://mfinante.gov.ro,https://ecifre.ro/indicatori/cheltuieli-bugetare-ro,2026-09-02
Cheltuieli bugetare (România),2025-07-31,447209.7247,Milioane lei,RO,MFIN,https://mfinante.gov.ro,https://ecifre.ro/indicatori/cheltuieli-bugetare-ro,2026-09-02
Cheltuieli bugetare (România),2025-08-31,506466.6476,Milioane lei,RO,MFIN,https://mfinante.gov.ro,https://ecifre.ro/indicatori/cheltuieli-bugetare-ro,2026-09-02
Cheltuieli bugetare (România),2025-09-30,569425.8426,Milioane lei,RO,MFIN,https://mfinante.gov.ro,https://ecifre.ro/indicatori/cheltuieli-bugetare-ro,2026-09-02
Cheltuieli bugetare (România),2025-10-31,640419.7288,Milioane lei,RO,MFIN,https://mfinante.gov.ro,https://ecifre.ro/indicatori/cheltuieli-bugetare-ro,2026-09-02
Cheltuieli bugetare (România),2025-11-30,713683.3213,Milioane lei,RO,MFIN,https://mfinante.gov.ro,https://ecifre.ro/indicatori/cheltuieli-bugetare-ro,2026-09-02
Cheltuieli bugetare (România),2025-12-31,808731.4150,Milioane lei,RO,MFIN,https://mfinante.gov.ro,https://ecifre.ro/indicatori/cheltuieli-bugetare-ro,2026-09-02
Cheltuieli bugetare (România),2026-01-31,54272.7327,Milioane lei,RO,MFIN,https://mfinante.gov.ro,https://ecifre.ro/indicatori/cheltuieli-bugetare-ro,2026-09-02
Cheltuieli bugetare (România),2026-02-28,117959.8184,Milioane lei,RO,MFIN,https://mfinante.gov.ro,https://ecifre.ro/indicatori/cheltuieli-bugetare-ro,2026-09-02
Cheltuieli bugetare (România),2026-03-31,179853.9828,Milioane lei,RO,MFIN,https://mfinante.gov.ro,https://ecifre.ro/indicatori/cheltuieli-bugetare-ro,2026-09-02
Cheltuieli bugetare (România),2026-04-30,247785.0711,Milioane lei,RO,MFIN,https://mfinante.gov.ro,https://ecifre.ro/indicatori/cheltuieli-bugetare-ro,2026-09-02
Cheltuieli bugetare (România),2026-05-31,315429.0845,Milioane lei,RO,MFIN,https://mfinante.gov.ro,https://ecifre.ro/indicatori/cheltuieli-bugetare-ro,2026-09-02
Cheltuieli bugetare (România),2026-06-30,383547.4320,Milioane lei,RO,MFIN,https://mfinante.gov.ro,https://ecifre.ro/indicatori/cheltuieli-bugetare-ro,2026-09-02
Cheltuieli bugetare (România),2026-07-31,460391.1289,Milioane lei,RO,MFIN,https://mfinante.gov.ro,https://ecifre.ro/indicatori/cheltuieli-bugetare-ro,2026-09-02
