indicator,date,value,unit,geography,source,source_url,ecifre_url,last_updated
Datoria publică (România),2015-01-01,37.7000,% din PIB,RO,EUROSTAT,https://ec.europa.eu/eurostat,https://ecifre.ro/indicatori/datorie-publica-ro,2026-09-01
Datoria publică (România),2016-01-01,37.8000,% din PIB,RO,EUROSTAT,https://ec.europa.eu/eurostat,https://ecifre.ro/indicatori/datorie-publica-ro,2026-09-01
Datoria publică (România),2017-01-01,35.3000,% din PIB,RO,EUROSTAT,https://ec.europa.eu/eurostat,https://ecifre.ro/indicatori/datorie-publica-ro,2026-09-01
Datoria publică (România),2018-01-01,34.6000,% din PIB,RO,EUROSTAT,https://ec.europa.eu/eurostat,https://ecifre.ro/indicatori/datorie-publica-ro,2026-09-01
Datoria publică (România),2019-01-01,35.2000,% din PIB,RO,EUROSTAT,https://ec.europa.eu/eurostat,https://ecifre.ro/indicatori/datorie-publica-ro,2026-09-01
Datoria publică (România),2020-01-01,46.9000,% din PIB,RO,EUROSTAT,https://ec.europa.eu/eurostat,https://ecifre.ro/indicatori/datorie-publica-ro,2026-09-01
Datoria publică (România),2021-01-01,48.6000,% din PIB,RO,EUROSTAT,https://ec.europa.eu/eurostat,https://ecifre.ro/indicatori/datorie-publica-ro,2026-09-01
Datoria publică (România),2022-01-01,48.1000,% din PIB,RO,EUROSTAT,https://ec.europa.eu/eurostat,https://ecifre.ro/indicatori/datorie-publica-ro,2026-09-01
Datoria publică (România),2023-01-01,49.3000,% din PIB,RO,EUROSTAT,https://ec.europa.eu/eurostat,https://ecifre.ro/indicatori/datorie-publica-ro,2026-09-01
Datoria publică (România),2024-01-01,54.8000,% din PIB,RO,EUROSTAT,https://ec.europa.eu/eurostat,https://ecifre.ro/indicatori/datorie-publica-ro,2026-09-01
Datoria publică (România),2025-01-01,59.3000,% din PIB,RO,EUROSTAT,https://ec.europa.eu/eurostat,https://ecifre.ro/indicatori/datorie-publica-ro,2026-09-01
