indicator,date,value,unit,geography,source,source_url,ecifre_url,last_updated
"Deficit bugetar (România, Ministerul Finanțelor)",2024-02-29,-28987.2846,Milioane lei,RO,MFIN,https://mfinante.gov.ro,https://ecifre.ro/indicatori/deficit-bugetar-ro-mfin,2026-09-02
"Deficit bugetar (România, Ministerul Finanțelor)",2024-03-31,-35878.9834,Milioane lei,RO,MFIN,https://mfinante.gov.ro,https://ecifre.ro/indicatori/deficit-bugetar-ro-mfin,2026-09-02
"Deficit bugetar (România, Ministerul Finanțelor)",2024-04-30,-57290.5783,Milioane lei,RO,MFIN,https://mfinante.gov.ro,https://ecifre.ro/indicatori/deficit-bugetar-ro-mfin,2026-09-02
"Deficit bugetar (România, Ministerul Finanțelor)",2024-05-31,-60104.2274,Milioane lei,RO,MFIN,https://mfinante.gov.ro,https://ecifre.ro/indicatori/deficit-bugetar-ro-mfin,2026-09-02
"Deficit bugetar (România, Ministerul Finanțelor)",2024-06-30,-63665.6445,Milioane lei,RO,MFIN,https://mfinante.gov.ro,https://ecifre.ro/indicatori/deficit-bugetar-ro-mfin,2026-09-02
"Deficit bugetar (România, Ministerul Finanțelor)",2024-07-31,-71041.7951,Milioane lei,RO,MFIN,https://mfinante.gov.ro,https://ecifre.ro/indicatori/deficit-bugetar-ro-mfin,2026-09-02
"Deficit bugetar (România, Ministerul Finanțelor)",2024-08-31,-80870.1950,Milioane lei,RO,MFIN,https://mfinante.gov.ro,https://ecifre.ro/indicatori/deficit-bugetar-ro-mfin,2026-09-02
"Deficit bugetar (România, Ministerul Finanțelor)",2024-09-30,-96236.8769,Milioane lei,RO,MFIN,https://mfinante.gov.ro,https://ecifre.ro/indicatori/deficit-bugetar-ro-mfin,2026-09-02
"Deficit bugetar (România, Ministerul Finanțelor)",2024-10-31,-109416.6610,Milioane lei,RO,MFIN,https://mfinante.gov.ro,https://ecifre.ro/indicatori/deficit-bugetar-ro-mfin,2026-09-02
"Deficit bugetar (România, Ministerul Finanțelor)",2024-11-30,-125719.1653,Milioane lei,RO,MFIN,https://mfinante.gov.ro,https://ecifre.ro/indicatori/deficit-bugetar-ro-mfin,2026-09-02
"Deficit bugetar (România, Ministerul Finanțelor)",2024-12-31,-152717.4122,Milioane lei,RO,MFIN,https://mfinante.gov.ro,https://ecifre.ro/indicatori/deficit-bugetar-ro-mfin,2026-09-02
"Deficit bugetar (România, Ministerul Finanțelor)",2025-01-31,-11011.8336,Milioane lei,RO,MFIN,https://mfinante.gov.ro,https://ecifre.ro/indicatori/deficit-bugetar-ro-mfin,2026-09-02
"Deficit bugetar (România, Ministerul Finanțelor)",2025-02-28,-30237.2362,Milioane lei,RO,MFIN,https://mfinante.gov.ro,https://ecifre.ro/indicatori/deficit-bugetar-ro-mfin,2026-09-02
"Deficit bugetar (România, Ministerul Finanțelor)",2025-03-31,-43656.9409,Milioane lei,RO,MFIN,https://mfinante.gov.ro,https://ecifre.ro/indicatori/deficit-bugetar-ro-mfin,2026-09-02
"Deficit bugetar (România, Ministerul Finanțelor)",2025-04-30,-55971.0274,Milioane lei,RO,MFIN,https://mfinante.gov.ro,https://ecifre.ro/indicatori/deficit-bugetar-ro-mfin,2026-09-02
"Deficit bugetar (România, Ministerul Finanțelor)",2025-05-31,-64230.9704,Milioane lei,RO,MFIN,https://mfinante.gov.ro,https://ecifre.ro/indicatori/deficit-bugetar-ro-mfin,2026-09-02
"Deficit bugetar (România, Ministerul Finanțelor)",2025-06-30,-69795.1958,Milioane lei,RO,MFIN,https://mfinante.gov.ro,https://ecifre.ro/indicatori/deficit-bugetar-ro-mfin,2026-09-02
"Deficit bugetar (România, Ministerul Finanțelor)",2025-07-31,-76437.9702,Milioane lei,RO,MFIN,https://mfinante.gov.ro,https://ecifre.ro/indicatori/deficit-bugetar-ro-mfin,2026-09-02
"Deficit bugetar (România, Ministerul Finanțelor)",2025-08-31,-86358.5783,Milioane lei,RO,MFIN,https://mfinante.gov.ro,https://ecifre.ro/indicatori/deficit-bugetar-ro-mfin,2026-09-02
"Deficit bugetar (România, Ministerul Finanțelor)",2025-09-30,-102473.8291,Milioane lei,RO,MFIN,https://mfinante.gov.ro,https://ecifre.ro/indicatori/deficit-bugetar-ro-mfin,2026-09-02
"Deficit bugetar (România, Ministerul Finanțelor)",2025-10-31,-108868.9150,Milioane lei,RO,MFIN,https://mfinante.gov.ro,https://ecifre.ro/indicatori/deficit-bugetar-ro-mfin,2026-09-02
"Deficit bugetar (România, Ministerul Finanțelor)",2025-11-30,-121774.2430,Milioane lei,RO,MFIN,https://mfinante.gov.ro,https://ecifre.ro/indicatori/deficit-bugetar-ro-mfin,2026-09-02
"Deficit bugetar (România, Ministerul Finanțelor)",2025-12-31,-146033.2419,Milioane lei,RO,MFIN,https://mfinante.gov.ro,https://ecifre.ro/indicatori/deficit-bugetar-ro-mfin,2026-09-02
"Deficit bugetar (România, Ministerul Finanțelor)",2026-01-31,845.1457,Milioane lei,RO,MFIN,https://mfinante.gov.ro,https://ecifre.ro/indicatori/deficit-bugetar-ro-mfin,2026-09-02
