indicator,date,value,unit,geography,source,source_url,ecifre_url,last_updated
Venituri bugetare (România),2024-02-29,86672.6460,Milioane lei,RO,MFIN,https://mfinante.gov.ro,https://ecifre.ro/indicatori/venituri-bugetare-ro,2026-09-02
Venituri bugetare (România),2024-03-31,132162.1172,Milioane lei,RO,MFIN,https://mfinante.gov.ro,https://ecifre.ro/indicatori/venituri-bugetare-ro,2026-09-02
Venituri bugetare (România),2024-04-30,182695.6454,Milioane lei,RO,MFIN,https://mfinante.gov.ro,https://ecifre.ro/indicatori/venituri-bugetare-ro,2026-09-02
Venituri bugetare (România),2024-05-31,225380.7139,Milioane lei,RO,MFIN,https://mfinante.gov.ro,https://ecifre.ro/indicatori/venituri-bugetare-ro,2026-09-02
Venituri bugetare (România),2024-06-30,275503.9528,Milioane lei,RO,MFIN,https://mfinante.gov.ro,https://ecifre.ro/indicatori/venituri-bugetare-ro,2026-09-02
Venituri bugetare (România),2024-07-31,331554.9725,Milioane lei,RO,MFIN,https://mfinante.gov.ro,https://ecifre.ro/indicatori/venituri-bugetare-ro,2026-09-02
Venituri bugetare (România),2024-08-31,375764.3573,Milioane lei,RO,MFIN,https://mfinante.gov.ro,https://ecifre.ro/indicatori/venituri-bugetare-ro,2026-09-02
Venituri bugetare (România),2024-09-30,415984.4953,Milioane lei,RO,MFIN,https://mfinante.gov.ro,https://ecifre.ro/indicatori/venituri-bugetare-ro,2026-09-02
Venituri bugetare (România),2024-10-31,473525.8690,Milioane lei,RO,MFIN,https://mfinante.gov.ro,https://ecifre.ro/indicatori/venituri-bugetare-ro,2026-09-02
Venituri bugetare (România),2024-11-30,523937.4797,Milioane lei,RO,MFIN,https://mfinante.gov.ro,https://ecifre.ro/indicatori/venituri-bugetare-ro,2026-09-02
Venituri bugetare (România),2024-12-31,574598.7561,Milioane lei,RO,MFIN,https://mfinante.gov.ro,https://ecifre.ro/indicatori/venituri-bugetare-ro,2026-09-02
Venituri bugetare (România),2025-01-31,46745.6879,Milioane lei,RO,MFIN,https://mfinante.gov.ro,https://ecifre.ro/indicatori/venituri-bugetare-ro,2026-09-02
Venituri bugetare (România),2025-02-28,89663.6137,Milioane lei,RO,MFIN,https://mfinante.gov.ro,https://ecifre.ro/indicatori/venituri-bugetare-ro,2026-09-02
Venituri bugetare (România),2025-03-31,141324.7006,Milioane lei,RO,MFIN,https://mfinante.gov.ro,https://ecifre.ro/indicatori/venituri-bugetare-ro,2026-09-02
Venituri bugetare (România),2025-04-30,199922.0475,Milioane lei,RO,MFIN,https://mfinante.gov.ro,https://ecifre.ro/indicatori/venituri-bugetare-ro,2026-09-02
Venituri bugetare (România),2025-05-31,255996.0647,Milioane lei,RO,MFIN,https://mfinante.gov.ro,https://ecifre.ro/indicatori/venituri-bugetare-ro,2026-09-02
Venituri bugetare (România),2025-06-30,310520.6399,Milioane lei,RO,MFIN,https://mfinante.gov.ro,https://ecifre.ro/indicatori/venituri-bugetare-ro,2026-09-02
Venituri bugetare (România),2025-07-31,370771.7545,Milioane lei,RO,MFIN,https://mfinante.gov.ro,https://ecifre.ro/indicatori/venituri-bugetare-ro,2026-09-02
Venituri bugetare (România),2025-08-31,420108.0693,Milioane lei,RO,MFIN,https://mfinante.gov.ro,https://ecifre.ro/indicatori/venituri-bugetare-ro,2026-09-02
Venituri bugetare (România),2025-09-30,466952.0135,Milioane lei,RO,MFIN,https://mfinante.gov.ro,https://ecifre.ro/indicatori/venituri-bugetare-ro,2026-09-02
Venituri bugetare (România),2025-10-31,531550.8138,Milioane lei,RO,MFIN,https://mfinante.gov.ro,https://ecifre.ro/indicatori/venituri-bugetare-ro,2026-09-02
Venituri bugetare (România),2025-11-30,591909.0783,Milioane lei,RO,MFIN,https://mfinante.gov.ro,https://ecifre.ro/indicatori/venituri-bugetare-ro,2026-09-02
Venituri bugetare (România),2025-12-31,662698.1731,Milioane lei,RO,MFIN,https://mfinante.gov.ro,https://ecifre.ro/indicatori/venituri-bugetare-ro,2026-09-02
Venituri bugetare (România),2026-01-31,55117.8784,Milioane lei,RO,MFIN,https://mfinante.gov.ro,https://ecifre.ro/indicatori/venituri-bugetare-ro,2026-09-02
Venituri bugetare (România),2026-02-28,103727.2498,Milioane lei,RO,MFIN,https://mfinante.gov.ro,https://ecifre.ro/indicatori/venituri-bugetare-ro,2026-09-02
Venituri bugetare (România),2026-03-31,158759.3628,Milioane lei,RO,MFIN,https://mfinante.gov.ro,https://ecifre.ro/indicatori/venituri-bugetare-ro,2026-09-02
Venituri bugetare (România),2026-04-30,223831.8348,Milioane lei,RO,MFIN,https://mfinante.gov.ro,https://ecifre.ro/indicatori/venituri-bugetare-ro,2026-09-02
Venituri bugetare (România),2026-05-31,279488.2219,Milioane lei,RO,MFIN,https://mfinante.gov.ro,https://ecifre.ro/indicatori/venituri-bugetare-ro,2026-09-02
Venituri bugetare (România),2026-06-30,342517.6595,Milioane lei,RO,MFIN,https://mfinante.gov.ro,https://ecifre.ro/indicatori/venituri-bugetare-ro,2026-09-02
Venituri bugetare (România),2026-07-31,412307.3464,Milioane lei,RO,MFIN,https://mfinante.gov.ro,https://ecifre.ro/indicatori/venituri-bugetare-ro,2026-09-02
