indicator,date,value,unit,geography,source,source_url,ecifre_url,last_updated
Rata șomajului înregistrat (România),2025-09-30,3.1500,%,RO,ANOFM,https://www.anofm.ro,https://ecifre.ro/indicatori/somaj-inregistrat-ro,2026-09-01
Rata șomajului înregistrat (România),2025-10-31,3.2100,%,RO,ANOFM,https://www.anofm.ro,https://ecifre.ro/indicatori/somaj-inregistrat-ro,2026-09-01
Rata șomajului înregistrat (România),2025-11-30,3.2800,%,RO,ANOFM,https://www.anofm.ro,https://ecifre.ro/indicatori/somaj-inregistrat-ro,2026-09-01
Rata șomajului înregistrat (România),2025-12-31,3.2900,%,RO,ANOFM,https://www.anofm.ro,https://ecifre.ro/indicatori/somaj-inregistrat-ro,2026-09-01
Rata șomajului înregistrat (România),2026-01-31,3.3500,%,RO,ANOFM,https://www.anofm.ro,https://ecifre.ro/indicatori/somaj-inregistrat-ro,2026-09-01
Rata șomajului înregistrat (România),2026-02-28,3.3400,%,RO,ANOFM,https://www.anofm.ro,https://ecifre.ro/indicatori/somaj-inregistrat-ro,2026-09-01
Rata șomajului înregistrat (România),2026-03-31,3.2500,%,RO,ANOFM,https://www.anofm.ro,https://ecifre.ro/indicatori/somaj-inregistrat-ro,2026-09-01
Rata șomajului înregistrat (România),2026-04-30,3.2400,%,RO,ANOFM,https://www.anofm.ro,https://ecifre.ro/indicatori/somaj-inregistrat-ro,2026-09-01
Rata șomajului înregistrat (România),2026-05-31,3.2100,%,RO,ANOFM,https://www.anofm.ro,https://ecifre.ro/indicatori/somaj-inregistrat-ro,2026-09-01
Rata șomajului înregistrat (România),2026-06-30,3.2000,%,RO,ANOFM,https://www.anofm.ro,https://ecifre.ro/indicatori/somaj-inregistrat-ro,2026-09-01
Rata șomajului înregistrat (România),2026-07-31,3.2500,%,RO,ANOFM,https://www.anofm.ro,https://ecifre.ro/indicatori/somaj-inregistrat-ro,2026-09-01
