indicator,date,value,unit,geography,source,source_url,ecifre_url,last_updated
Salariul mediu brut (România),2015-01-01,2408.0000,Lei,RO,INSSE,https://insse.ro,https://ecifre.ro/indicatori/salariu-mediu-brut-ro,2026-09-01
Salariul mediu brut (România),2015-02-01,2395.0000,Lei,RO,INSSE,https://insse.ro,https://ecifre.ro/indicatori/salariu-mediu-brut-ro,2026-09-01
Salariul mediu brut (România),2015-03-01,2529.0000,Lei,RO,INSSE,https://insse.ro,https://ecifre.ro/indicatori/salariu-mediu-brut-ro,2026-09-01
Salariul mediu brut (România),2015-04-01,2564.0000,Lei,RO,INSSE,https://insse.ro,https://ecifre.ro/indicatori/salariu-mediu-brut-ro,2026-09-01
Salariul mediu brut (România),2015-05-01,2500.0000,Lei,RO,INSSE,https://insse.ro,https://ecifre.ro/indicatori/salariu-mediu-brut-ro,2026-09-01
Salariul mediu brut (România),2015-06-01,2516.0000,Lei,RO,INSSE,https://insse.ro,https://ecifre.ro/indicatori/salariu-mediu-brut-ro,2026-09-01
Salariul mediu brut (România),2015-07-01,2563.0000,Lei,RO,INSSE,https://insse.ro,https://ecifre.ro/indicatori/salariu-mediu-brut-ro,2026-09-01
Salariul mediu brut (România),2015-08-01,2515.0000,Lei,RO,INSSE,https://insse.ro,https://ecifre.ro/indicatori/salariu-mediu-brut-ro,2026-09-01
Salariul mediu brut (România),2015-09-01,2541.0000,Lei,RO,INSSE,https://insse.ro,https://ecifre.ro/indicatori/salariu-mediu-brut-ro,2026-09-01
Salariul mediu brut (România),2015-10-01,2594.0000,Lei,RO,INSSE,https://insse.ro,https://ecifre.ro/indicatori/salariu-mediu-brut-ro,2026-09-01
Salariul mediu brut (România),2015-11-01,2659.0000,Lei,RO,INSSE,https://insse.ro,https://ecifre.ro/indicatori/salariu-mediu-brut-ro,2026-09-01
Salariul mediu brut (România),2015-12-01,2930.0000,Lei,RO,INSSE,https://insse.ro,https://ecifre.ro/indicatori/salariu-mediu-brut-ro,2026-09-01
Salariul mediu brut (România),2016-01-01,2688.0000,Lei,RO,INSSE,https://insse.ro,https://ecifre.ro/indicatori/salariu-mediu-brut-ro,2026-09-01
Salariul mediu brut (România),2016-02-01,2693.0000,Lei,RO,INSSE,https://insse.ro,https://ecifre.ro/indicatori/salariu-mediu-brut-ro,2026-09-01
Salariul mediu brut (România),2016-03-01,2829.0000,Lei,RO,INSSE,https://insse.ro,https://ecifre.ro/indicatori/salariu-mediu-brut-ro,2026-09-01
Salariul mediu brut (România),2016-04-01,2879.0000,Lei,RO,INSSE,https://insse.ro,https://ecifre.ro/indicatori/salariu-mediu-brut-ro,2026-09-01
Salariul mediu brut (România),2016-05-01,2853.0000,Lei,RO,INSSE,https://insse.ro,https://ecifre.ro/indicatori/salariu-mediu-brut-ro,2026-09-01
Salariul mediu brut (România),2016-06-01,2874.0000,Lei,RO,INSSE,https://insse.ro,https://ecifre.ro/indicatori/salariu-mediu-brut-ro,2026-09-01
Salariul mediu brut (România),2016-07-01,2875.0000,Lei,RO,INSSE,https://insse.ro,https://ecifre.ro/indicatori/salariu-mediu-brut-ro,2026-09-01
Salariul mediu brut (România),2016-08-01,2874.0000,Lei,RO,INSSE,https://insse.ro,https://ecifre.ro/indicatori/salariu-mediu-brut-ro,2026-09-01
Salariul mediu brut (România),2016-09-01,2898.0000,Lei,RO,INSSE,https://insse.ro,https://ecifre.ro/indicatori/salariu-mediu-brut-ro,2026-09-01
Salariul mediu brut (România),2016-10-01,2918.0000,Lei,RO,INSSE,https://insse.ro,https://ecifre.ro/indicatori/salariu-mediu-brut-ro,2026-09-01
Salariul mediu brut (România),2016-11-01,3005.0000,Lei,RO,INSSE,https://insse.ro,https://ecifre.ro/indicatori/salariu-mediu-brut-ro,2026-09-01
Salariul mediu brut (România),2016-12-01,3257.0000,Lei,RO,INSSE,https://insse.ro,https://ecifre.ro/indicatori/salariu-mediu-brut-ro,2026-09-01
Salariul mediu brut (România),2017-01-01,3168.0000,Lei,RO,INSSE,https://insse.ro,https://ecifre.ro/indicatori/salariu-mediu-brut-ro,2026-09-01
Salariul mediu brut (România),2017-02-01,3108.0000,Lei,RO,INSSE,https://insse.ro,https://ecifre.ro/indicatori/salariu-mediu-brut-ro,2026-09-01
Salariul mediu brut (România),2017-03-01,3256.0000,Lei,RO,INSSE,https://insse.ro,https://ecifre.ro/indicatori/salariu-mediu-brut-ro,2026-09-01
Salariul mediu brut (România),2017-04-01,3291.0000,Lei,RO,INSSE,https://insse.ro,https://ecifre.ro/indicatori/salariu-mediu-brut-ro,2026-09-01
Salariul mediu brut (România),2017-05-01,3288.0000,Lei,RO,INSSE,https://insse.ro,https://ecifre.ro/indicatori/salariu-mediu-brut-ro,2026-09-01
Salariul mediu brut (România),2017-06-01,3313.0000,Lei,RO,INSSE,https://insse.ro,https://ecifre.ro/indicatori/salariu-mediu-brut-ro,2026-09-01
Salariul mediu brut (România),2017-07-01,3329.0000,Lei,RO,INSSE,https://insse.ro,https://ecifre.ro/indicatori/salariu-mediu-brut-ro,2026-09-01
Salariul mediu brut (România),2017-08-01,3290.0000,Lei,RO,INSSE,https://insse.ro,https://ecifre.ro/indicatori/salariu-mediu-brut-ro,2026-09-01
Salariul mediu brut (România),2017-09-01,3305.0000,Lei,RO,INSSE,https://insse.ro,https://ecifre.ro/indicatori/salariu-mediu-brut-ro,2026-09-01
Salariul mediu brut (România),2017-10-01,3327.0000,Lei,RO,INSSE,https://insse.ro,https://ecifre.ro/indicatori/salariu-mediu-brut-ro,2026-09-01
Salariul mediu brut (România),2017-11-01,3430.0000,Lei,RO,INSSE,https://insse.ro,https://ecifre.ro/indicatori/salariu-mediu-brut-ro,2026-09-01
Salariul mediu brut (România),2017-12-01,3662.0000,Lei,RO,INSSE,https://insse.ro,https://ecifre.ro/indicatori/salariu-mediu-brut-ro,2026-09-01
Salariul mediu brut (România),2018-01-01,4143.0000,Lei,RO,INSSE,https://insse.ro,https://ecifre.ro/indicatori/salariu-mediu-brut-ro,2026-09-01
Salariul mediu brut (România),2018-02-01,4128.0000,Lei,RO,INSSE,https://insse.ro,https://ecifre.ro/indicatori/salariu-mediu-brut-ro,2026-09-01
Salariul mediu brut (România),2018-03-01,4488.0000,Lei,RO,INSSE,https://insse.ro,https://ecifre.ro/indicatori/salariu-mediu-brut-ro,2026-09-01
Salariul mediu brut (România),2018-04-01,4512.0000,Lei,RO,INSSE,https://insse.ro,https://ecifre.ro/indicatori/salariu-mediu-brut-ro,2026-09-01
Salariul mediu brut (România),2018-05-01,4494.0000,Lei,RO,INSSE,https://insse.ro,https://ecifre.ro/indicatori/salariu-mediu-brut-ro,2026-09-01
Salariul mediu brut (România),2018-06-01,4527.0000,Lei,RO,INSSE,https://insse.ro,https://ecifre.ro/indicatori/salariu-mediu-brut-ro,2026-09-01
Salariul mediu brut (România),2018-07-01,4510.0000,Lei,RO,INSSE,https://insse.ro,https://ecifre.ro/indicatori/salariu-mediu-brut-ro,2026-09-01
Salariul mediu brut (România),2018-08-01,4449.0000,Lei,RO,INSSE,https://insse.ro,https://ecifre.ro/indicatori/salariu-mediu-brut-ro,2026-09-01
Salariul mediu brut (România),2018-09-01,4482.0000,Lei,RO,INSSE,https://insse.ro,https://ecifre.ro/indicatori/salariu-mediu-brut-ro,2026-09-01
Salariul mediu brut (România),2018-10-01,4532.0000,Lei,RO,INSSE,https://insse.ro,https://ecifre.ro/indicatori/salariu-mediu-brut-ro,2026-09-01
Salariul mediu brut (România),2018-11-01,4658.0000,Lei,RO,INSSE,https://insse.ro,https://ecifre.ro/indicatori/salariu-mediu-brut-ro,2026-09-01
Salariul mediu brut (România),2018-12-01,4938.0000,Lei,RO,INSSE,https://insse.ro,https://ecifre.ro/indicatori/salariu-mediu-brut-ro,2026-09-01
Salariul mediu brut (România),2019-01-01,4837.0000,Lei,RO,INSSE,https://insse.ro,https://ecifre.ro/indicatori/salariu-mediu-brut-ro,2026-09-01
Salariul mediu brut (România),2019-02-01,4819.0000,Lei,RO,INSSE,https://insse.ro,https://ecifre.ro/indicatori/salariu-mediu-brut-ro,2026-09-01
Salariul mediu brut (România),2019-03-01,5050.0000,Lei,RO,INSSE,https://insse.ro,https://ecifre.ro/indicatori/salariu-mediu-brut-ro,2026-09-01
Salariul mediu brut (România),2019-04-01,5105.0000,Lei,RO,INSSE,https://insse.ro,https://ecifre.ro/indicatori/salariu-mediu-brut-ro,2026-09-01
Salariul mediu brut (România),2019-05-01,5078.0000,Lei,RO,INSSE,https://insse.ro,https://ecifre.ro/indicatori/salariu-mediu-brut-ro,2026-09-01
Salariul mediu brut (România),2019-06-01,5127.0000,Lei,RO,INSSE,https://insse.ro,https://ecifre.ro/indicatori/salariu-mediu-brut-ro,2026-09-01
Salariul mediu brut (România),2019-07-01,5091.0000,Lei,RO,INSSE,https://insse.ro,https://ecifre.ro/indicatori/salariu-mediu-brut-ro,2026-09-01
Salariul mediu brut (România),2019-08-01,4981.0000,Lei,RO,INSSE,https://insse.ro,https://ecifre.ro/indicatori/salariu-mediu-brut-ro,2026-09-01
Salariul mediu brut (România),2019-09-01,5041.0000,Lei,RO,INSSE,https://insse.ro,https://ecifre.ro/indicatori/salariu-mediu-brut-ro,2026-09-01
Salariul mediu brut (România),2019-10-01,5090.0000,Lei,RO,INSSE,https://insse.ro,https://ecifre.ro/indicatori/salariu-mediu-brut-ro,2026-09-01
Salariul mediu brut (România),2019-11-01,5196.0000,Lei,RO,INSSE,https://insse.ro,https://ecifre.ro/indicatori/salariu-mediu-brut-ro,2026-09-01
Salariul mediu brut (România),2019-12-01,5465.0000,Lei,RO,INSSE,https://insse.ro,https://ecifre.ro/indicatori/salariu-mediu-brut-ro,2026-09-01
Salariul mediu brut (România),2020-01-01,5225.0000,Lei,RO,INSSE,https://insse.ro,https://ecifre.ro/indicatori/salariu-mediu-brut-ro,2026-09-01
