indicator,date,value,unit,geography,source,source_url,ecifre_url,last_updated
Salariul mediu net (România),2015-01-01,1740.0000,Lei,RO,INSSE,https://insse.ro,https://ecifre.ro/indicatori/salariu-mediu-net-ro,2026-09-01
Salariul mediu net (România),2015-02-01,1731.0000,Lei,RO,INSSE,https://insse.ro,https://ecifre.ro/indicatori/salariu-mediu-net-ro,2026-09-01
Salariul mediu net (România),2015-03-01,1829.0000,Lei,RO,INSSE,https://insse.ro,https://ecifre.ro/indicatori/salariu-mediu-net-ro,2026-09-01
Salariul mediu net (România),2015-04-01,1857.0000,Lei,RO,INSSE,https://insse.ro,https://ecifre.ro/indicatori/salariu-mediu-net-ro,2026-09-01
Salariul mediu net (România),2015-05-01,1806.0000,Lei,RO,INSSE,https://insse.ro,https://ecifre.ro/indicatori/salariu-mediu-net-ro,2026-09-01
Salariul mediu net (România),2015-06-01,1818.0000,Lei,RO,INSSE,https://insse.ro,https://ecifre.ro/indicatori/salariu-mediu-net-ro,2026-09-01
Salariul mediu net (România),2015-07-01,1849.0000,Lei,RO,INSSE,https://insse.ro,https://ecifre.ro/indicatori/salariu-mediu-net-ro,2026-09-01
Salariul mediu net (România),2015-08-01,1813.0000,Lei,RO,INSSE,https://insse.ro,https://ecifre.ro/indicatori/salariu-mediu-net-ro,2026-09-01
Salariul mediu net (România),2015-09-01,1833.0000,Lei,RO,INSSE,https://insse.ro,https://ecifre.ro/indicatori/salariu-mediu-net-ro,2026-09-01
Salariul mediu net (România),2015-10-01,1871.0000,Lei,RO,INSSE,https://insse.ro,https://ecifre.ro/indicatori/salariu-mediu-net-ro,2026-09-01
Salariul mediu net (România),2015-11-01,1918.0000,Lei,RO,INSSE,https://insse.ro,https://ecifre.ro/indicatori/salariu-mediu-net-ro,2026-09-01
Salariul mediu net (România),2015-12-01,2114.0000,Lei,RO,INSSE,https://insse.ro,https://ecifre.ro/indicatori/salariu-mediu-net-ro,2026-09-01
Salariul mediu net (România),2016-01-01,1943.0000,Lei,RO,INSSE,https://insse.ro,https://ecifre.ro/indicatori/salariu-mediu-net-ro,2026-09-01
Salariul mediu net (România),2016-02-01,1950.0000,Lei,RO,INSSE,https://insse.ro,https://ecifre.ro/indicatori/salariu-mediu-net-ro,2026-09-01
Salariul mediu net (România),2016-03-01,2051.0000,Lei,RO,INSSE,https://insse.ro,https://ecifre.ro/indicatori/salariu-mediu-net-ro,2026-09-01
Salariul mediu net (România),2016-04-01,2086.0000,Lei,RO,INSSE,https://insse.ro,https://ecifre.ro/indicatori/salariu-mediu-net-ro,2026-09-01
Salariul mediu net (România),2016-05-01,2063.0000,Lei,RO,INSSE,https://insse.ro,https://ecifre.ro/indicatori/salariu-mediu-net-ro,2026-09-01
Salariul mediu net (România),2016-06-01,2078.0000,Lei,RO,INSSE,https://insse.ro,https://ecifre.ro/indicatori/salariu-mediu-net-ro,2026-09-01
Salariul mediu net (România),2016-07-01,2078.0000,Lei,RO,INSSE,https://insse.ro,https://ecifre.ro/indicatori/salariu-mediu-net-ro,2026-09-01
Salariul mediu net (România),2016-08-01,2076.0000,Lei,RO,INSSE,https://insse.ro,https://ecifre.ro/indicatori/salariu-mediu-net-ro,2026-09-01
Salariul mediu net (România),2016-09-01,2094.0000,Lei,RO,INSSE,https://insse.ro,https://ecifre.ro/indicatori/salariu-mediu-net-ro,2026-09-01
Salariul mediu net (România),2016-10-01,2108.0000,Lei,RO,INSSE,https://insse.ro,https://ecifre.ro/indicatori/salariu-mediu-net-ro,2026-09-01
Salariul mediu net (România),2016-11-01,2172.0000,Lei,RO,INSSE,https://insse.ro,https://ecifre.ro/indicatori/salariu-mediu-net-ro,2026-09-01
Salariul mediu net (România),2016-12-01,2354.0000,Lei,RO,INSSE,https://insse.ro,https://ecifre.ro/indicatori/salariu-mediu-net-ro,2026-09-01
Salariul mediu net (România),2017-01-01,2300.0000,Lei,RO,INSSE,https://insse.ro,https://ecifre.ro/indicatori/salariu-mediu-net-ro,2026-09-01
