indicator,date,value,unit,geography,source,source_url,ecifre_url,last_updated
Salariul minim brut pe economie,2015-01-01,975.0000,RON/lună,RO,EUROSTAT,https://ec.europa.eu/eurostat,https://ecifre.ro/indicatori/salariu-minim-ro,2026-09-01
Salariul minim brut pe economie,2015-07-01,1050.0000,RON/lună,RO,EUROSTAT,https://ec.europa.eu/eurostat,https://ecifre.ro/indicatori/salariu-minim-ro,2026-09-01
Salariul minim brut pe economie,2016-01-01,1050.0000,RON/lună,RO,EUROSTAT,https://ec.europa.eu/eurostat,https://ecifre.ro/indicatori/salariu-minim-ro,2026-09-01
Salariul minim brut pe economie,2016-07-01,1250.0000,RON/lună,RO,EUROSTAT,https://ec.europa.eu/eurostat,https://ecifre.ro/indicatori/salariu-minim-ro,2026-09-01
Salariul minim brut pe economie,2017-01-01,1250.0000,RON/lună,RO,EUROSTAT,https://ec.europa.eu/eurostat,https://ecifre.ro/indicatori/salariu-minim-ro,2026-09-01
Salariul minim brut pe economie,2017-07-01,1450.0000,RON/lună,RO,EUROSTAT,https://ec.europa.eu/eurostat,https://ecifre.ro/indicatori/salariu-minim-ro,2026-09-01
Salariul minim brut pe economie,2018-01-01,1900.0000,RON/lună,RO,EUROSTAT,https://ec.europa.eu/eurostat,https://ecifre.ro/indicatori/salariu-minim-ro,2026-09-01
Salariul minim brut pe economie,2018-07-01,1900.0000,RON/lună,RO,EUROSTAT,https://ec.europa.eu/eurostat,https://ecifre.ro/indicatori/salariu-minim-ro,2026-09-01
Salariul minim brut pe economie,2019-01-01,2080.0000,RON/lună,RO,EUROSTAT,https://ec.europa.eu/eurostat,https://ecifre.ro/indicatori/salariu-minim-ro,2026-09-01
Salariul minim brut pe economie,2019-07-01,2080.0000,RON/lună,RO,EUROSTAT,https://ec.europa.eu/eurostat,https://ecifre.ro/indicatori/salariu-minim-ro,2026-09-01
Salariul minim brut pe economie,2020-01-01,2230.0000,RON/lună,RO,EUROSTAT,https://ec.europa.eu/eurostat,https://ecifre.ro/indicatori/salariu-minim-ro,2026-09-01
Salariul minim brut pe economie,2020-07-01,2230.0000,RON/lună,RO,EUROSTAT,https://ec.europa.eu/eurostat,https://ecifre.ro/indicatori/salariu-minim-ro,2026-09-01
Salariul minim brut pe economie,2021-01-01,2230.0000,RON/lună,RO,EUROSTAT,https://ec.europa.eu/eurostat,https://ecifre.ro/indicatori/salariu-minim-ro,2026-09-01
Salariul minim brut pe economie,2021-07-01,2300.0000,RON/lună,RO,EUROSTAT,https://ec.europa.eu/eurostat,https://ecifre.ro/indicatori/salariu-minim-ro,2026-09-01
Salariul minim brut pe economie,2022-01-01,2550.0000,RON/lună,RO,EUROSTAT,https://ec.europa.eu/eurostat,https://ecifre.ro/indicatori/salariu-minim-ro,2026-09-01
Salariul minim brut pe economie,2022-07-01,2550.0000,RON/lună,RO,EUROSTAT,https://ec.europa.eu/eurostat,https://ecifre.ro/indicatori/salariu-minim-ro,2026-09-01
Salariul minim brut pe economie,2023-01-01,3000.0000,RON/lună,RO,EUROSTAT,https://ec.europa.eu/eurostat,https://ecifre.ro/indicatori/salariu-minim-ro,2026-09-01
Salariul minim brut pe economie,2023-07-01,3000.0000,RON/lună,RO,EUROSTAT,https://ec.europa.eu/eurostat,https://ecifre.ro/indicatori/salariu-minim-ro,2026-09-01
Salariul minim brut pe economie,2024-01-01,3300.0000,RON/lună,RO,EUROSTAT,https://ec.europa.eu/eurostat,https://ecifre.ro/indicatori/salariu-minim-ro,2026-09-01
Salariul minim brut pe economie,2024-07-01,3700.0000,RON/lună,RO,EUROSTAT,https://ec.europa.eu/eurostat,https://ecifre.ro/indicatori/salariu-minim-ro,2026-09-01
Salariul minim brut pe economie,2025-01-01,4050.0000,RON/lună,RO,EUROSTAT,https://ec.europa.eu/eurostat,https://ecifre.ro/indicatori/salariu-minim-ro,2026-09-01
Salariul minim brut pe economie,2025-07-01,4050.0000,RON/lună,RO,EUROSTAT,https://ec.europa.eu/eurostat,https://ecifre.ro/indicatori/salariu-minim-ro,2026-09-01
Salariul minim brut pe economie,2026-01-01,4050.0000,RON/lună,RO,EUROSTAT,https://ec.europa.eu/eurostat,https://ecifre.ro/indicatori/salariu-minim-ro,2026-09-01
Salariul minim brut pe economie,2026-07-01,4325.0000,RON/lună,RO,EUROSTAT,https://ec.europa.eu/eurostat,https://ecifre.ro/indicatori/salariu-minim-ro,2026-09-01
